"Région","Département","Exprimés","Abstentions","Nb_voix_Le_Pen","Voix_Le_Pen","Voix_Zemmour","Voix_Macron","Voix_Mélenchon","Age_18_24ans","Age_30_44ans","Age_45_59ans","Agriculteurs_exploitants","Artisans_commerçants_chefs_d'entreprise","Cadres_professions_intellectuelles_supérieures","Employés","Ouvriers","Professions_intermédiaires","Retraités","Sans_activité_professionelles_ou_autre","Chômage","Salariés_emploi_précaire","Non_diplomés_non_scolarisés","Diplomés_supérieur_non_scolarisés","Indicateur_dépendance_économique","Immigrés","Densité_population","Médiane_revenu_dispo_par_unité_consommation","Rsa","Taux_évolution_pop_solde_migratoire_apparent"
"Auvergne-Rhône-Alpes","Ain",333024,97541,86755,26.05,8.27,27.69,17.37,6.5,19.8,20.8,0.6,3.9,9.1,16.4,15,16.2,25.2,13.5,10,14.2,25.8,29.4,98,11.8,113.22,24030,19.3,-0.09
"Hauts-de-France","Aisne",265860,101089,104342,39.25,6.87,22.09,15.49,7,17.8,20.1,1,2.7,4.5,16.4,16.7,11.9,29.1,17.5,17.4,16.4,35.7,19.1,108,4.7,72.18,20300,55.1,-0.35
"Auvergne-Rhône-Alpes","Allier",185955,58497,50315,27.06,6.65,26.73,16.68,6.3,15.5,20.6,1.8,3.4,4.5,15.8,13,11.1,36.6,13.9,13.5,16.2,31.9,21.1,123,5.1,45.77,20990,51.3,-0.67
"Provence-Alpes-Côte d'Azur","Alpes-de-Haute-Provence",96683,29290,26010,26.9,8.2,21.51,22.61,5.4,16,21.4,1.5,5.1,5.8,15.5,10.7,13.3,33.7,14.5,14.1,19.1,26.9,27.3,120,8,23.73,21130,43.6,-0.74
"Provence-Alpes-Côte d'Azur","Hautes-Alpes",86235,25357,19696,22.84,7.15,23.78,22.87,5.5,17.3,21.2,1.6,5.2,5.4,17.3,10.2,14.5,33.2,12.7,10.2,23.5,23.8,30.4,114,5.7,25.45,21420,36.4,-0.81
"Provence-Alpes-Côte d'Azur","Alpes-Maritimes",558775,208250,148919,26.65,14,25,16.53,7.1,18,20.1,0.1,5,9.3,17.3,8.7,13.3,29.8,16.4,13,13.5,27.5,32.8,107,14.5,254.57,22630,34.4,-0.33
"Auvergne-Rhône-Alpes","Ardèche",196975,54114,49594,25.18,7.21,23.02,21.75,5.5,16.7,21.2,1.4,4.5,5.3,15.1,13.2,13,33.9,13.5,13.6,16.5,29,25.4,117,5.3,59.38,21450,33.2,-0.68
"Grand Est","Ardennes",133936,49368,48242,36.02,6.55,23.64,16.64,6.5,17.5,21,1.2,3,4.3,16,16.2,12.1,29.8,17.4,16.5,16,34.6,19.7,107,5.8,51.74,20310,59.1,-0.49
"Occitanie","Ariège",91704,25028,21958,23.94,6.35,19.71,26.07,5.6,16.4,21.2,1.9,4.7,4.8,16.7,11.2,12.3,34.1,14.3,15,19.7,29.1,24.5,117,8.3,31.35,20430,70.1,-0.85
"Grand Est","Aube",149670,52384,49316,32.95,7.6,25.6,15.02,7.9,17.6,19.5,1.6,2.9,5.6,16.2,15.1,12.1,30,16.4,16,16.5,33.8,21.8,109,7.9,51.67,20960,49,-0.26
"Occitanie","Aude",212426,62972,64027,30.14,8.68,20.29,19.79,6,16.5,20.4,1.5,4.5,4.9,16.3,11,11.8,33.7,16.4,17.3,18.5,29.8,24.4,120,9.2,60.93,19980,72,-0.68
"Occitanie","Aveyron",170902,43833,34357,20.1,5.92,27.75,19.15,5.9,16.1,20.8,4,4.6,4.9,14.7,11.8,11.8,35.4,12.7,9.3,14.7,29.1,25.1,121,5.5,32.01,21260,27.5,-0.76
"Provence-Alpes-Côte d'Azur","Bouches-du-Rhône",1008620,383816,264753,26.25,10.77,22.71,23.59,8.4,18.6,19.8,0.2,3.6,9.8,15.9,9.4,14.3,25.8,21,14.1,14.6,27.7,33.3,100,11.1,401.59,22210,61.1,0.02
"Normandie","Calvados",386231,117799,91774,23.76,5.76,31.16,19.15,9,17.4,19.4,0.9,3.6,7.2,16.2,12.8,13.5,30.3,15.6,12.3,15.8,29.1,26.9,108,3.7,125.56,22180,32.3,-0.37
"Auvergne-Rhône-Alpes","Cantal",88102,25019,21570,24.48,5.57,28.42,14.69,5.5,16,21.6,5,3.9,4,15.9,12.5,10.9,36.1,11.6,8.3,16,32.7,20.6,120,2.5,25.27,21140,22.4,-1.02
"Nouvelle-Aquitaine","Charente",192666,59909,50432,26.18,5.51,27.57,19.36,6.4,16.5,20.9,1.6,3.7,5.5,15.5,14.5,11.8,33.8,13.8,13.4,17.4,29.5,22.7,115,5.9,59.1,21410,46.7,-0.67
"Nouvelle-Aquitaine","Charente-Maritime",394067,116437,99790,25.32,6.18,28.87,18.18,6.3,16.1,20,1.3,4.5,5.6,15.8,11.3,11.7,36.5,13.4,13.8,17.8,27.9,24.8,124,3.7,94.9,22080,40.7,-0.86
"Centre-Val de Loire","Cher",160533,59808,44772,27.89,6.74,27.1,17.38,6.2,16.2,20.9,1.3,3.1,5.4,16.1,13.7,11.9,34.5,13.9,13.5,14.7,30,22.4,117,5.5,41.78,21560,52,-0.63
"Nouvelle-Aquitaine","Corrèze",142600,38430,31658,22.2,5.62,23.23,19.45,6.2,16,20.7,1.9,3.7,5.1,15.6,12.4,12.2,36.1,13.1,10.6,16.1,28.8,23.7,121,6.2,40.99,21590,22.2,-0.82
"Corse","Corse-du-Sud",68861,42366,20139,29.25,13.36,18.78,13.55,5.4,19.2,21.1,0.7,5.8,5.5,19,10.4,12.6,27.7,18.1,11,11.1,29.5,26,103,9.6,39.49,22350,26.9,-0.61
"Corse","Haute-Corse",78511,48263,21998,28.02,12.3,17.54,13.21,7.4,19,20.4,1.1,5.6,5.1,18.2,10.3,11,26.6,22.1,12.4,15.4,32.3,26,100,10.2,38.99,20740,33.9,-0.5
"Bourgogne-Franche-Comté","Côte-d'Or",282745,77886,69110,24.44,7.66,28.55,19.05,10,17.7,19.6,1,3.4,8.5,15.7,12.5,14.4,28.5,15.9,11.2,15.7,26.2,30.1,101,7.2,60.95,22940,29.5,-0.18
"Bretagne","Côtes-d'Armor",366393,96597,79850,21.79,4.73,31.02,20.26,5.9,16.2,20.1,1.9,3.9,5.5,14.5,13.6,12.1,35.9,12.7,11.4,16.5,26.8,26.1,125,3.5,87.32,21850,31.5,-0.72
"Nouvelle-Aquitaine","Creuse",66848,21967,16772,25.09,5.24,23.25,20.46,5.2,14.5,21.4,4,3.7,4,15,10.9,10,40,12.4,12.2,16.2,32.1,20,130,5.1,20.95,20130,37.8,-1.23
"Nouvelle-Aquitaine","Dordogne",246556,64856,63327,25.68,6.41,23.74,20.3,5.4,15.3,21.1,1.7,4.9,4.3,15.1,12.4,10.8,37.8,13.1,13.5,16.7,31.3,22.2,127,6.6,45.61,20830,42.8,-1.16
"Bourgogne-Franche-Comté","Doubs",277097,84117,66703,24.07,7.03,27.55,20.06,8.9,18.6,19.2,0.9,3,7.4,14.9,16.5,14.3,27,16.1,11.9,16.1,27.6,28.2,101,8.4,103.96,23260,37.7,-0.07
"Auvergne-Rhône-Alpes","Drôme",291424,84289,70574,24.22,7.55,24.78,22.39,6.4,17.9,20.3,1.2,4.3,7.1,15.2,13.4,14.1,29.7,14.9,13.6,16.3,28,28.5,110,7.7,79.14,21790,35.1,-0.22
