Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Part des salariés de 15-64 ans en emploi précaire 2019
01001;L'Abergement-Clémenciat;2.9
01002;L'Abergement-de-Varey;5.9
01004;Ambérieu-en-Bugey;19
01005;Ambérieux-en-Dombes;8.3
01006;Ambléon;17.9
01007;Ambronay;8.6
01008;Ambutrix;19.3
01009;Andert-et-Condon;11.9
01010;Anglefort;8
01011;Apremont;4.7
01012;Aranc;5.8
01013;Arandas;13.5
01014;Arbent;16
01015;Arboys en Bugey;5.9
01016;Arbigny;13.4
01017;Argis;9
01019;Armix;31.2
01021;Ars-sur-Formans;13.1
01022;Artemare;23.3
01023;Asnières-sur-Saône;25
01024;Attignat;7.7
01025;Bâgé-Dommartin;11
01026;Bâgé-le-Châtel;16.9
01027;Balan;46.1
01028;Baneins;16.8
01029;Beaupont;28.7
01030;Beauregard;15.1
01031;Bellignat;23.9
01032;Béligneux;19
01033;Valserhône;18.8
01034;Belley;17.8
01035;Belleydoux;14.9
01036;Valromey-sur-Séran;10.5
01037;Bénonces;20
01038;Bény;14.6
01039;Béon;16
01040;Béréziat;7.6
01041;Bettant;18.9
01042;Bey;16
01043;Beynost;10.2
01044;Billiat;16.7
01045;Birieux;7.9
01046;Biziat;13.4
01047;Blyes;11.9
01049;La Boisse;12.9
01050;Boissey;7.5
01051;Bolozon;16.1
01052;Bouligneux;21.7
01053;Bourg-en-Bresse;18.8
01054;Bourg-Saint-Christophe;12.6
01056;Boyeux-Saint-Jérôme;14.2
01057;Boz;5
01058;Brégnier-Cordon;10.1
01060;Brénod;5.2
01061;Brens;10.1
01062;Bressolles;9.7
01063;Brion;14.4
01064;Briord;10.8
01065;Buellas;6.2
01066;La Burbanche;11.1
01067;Ceignes;0
01068;Cerdon;12.9
01069;Certines;13.5
01071;Cessy;9.6
01072;Ceyzériat;10.1
01073;Ceyzérieu;15.5
01074;Chalamont;20
01075;Chaleins;8.5
01076;Chaley;23.3
01077;Challes-la-Montagne;5.8
01078;Challex;12.1
01079;Champagne-en-Valromey;30
01080;Champdor-Corcelles;8.4
01081;Champfromier;9.8
01082;Chanay;21.9
01083;Chaneins;10.3
01084;Chanoz-Châtenay;6.6
01085;La Chapelle-du-Châtelard;3.2
01087;Charix;21.9
01088;Charnoz-sur-Ain;13.1
01089;Château-Gaillard;11.4
01090;Châtenay;18.2
01092;Châtillon-la-Palud;9.7
01093;Châtillon-sur-Chalaronne;11.8
01094;Chavannes-sur-Reyssouze;18.9
01095;Nivigne et Suran;6.7
01096;Chaveyriat;15.8
01098;Chazey-Bons;20.2
01099;Chazey-sur-Ain;11
01100;Cheignieu-la-Balme;0
01101;Chevillard;0
01102;Chevroux;9
01103;Chevry;16.4
01104;Chézery-Forens;12.8
01105;Civrieux;8.2
01106;Cize;6.2
01107;Cleyzieu;18.5
01108;Coligny;9.2
01109;Collonges;10.1
01110;Colomieu;7.1
01111;Conand;0
01112;Condamine;14
01113;Condeissiat;12.5
01114;Confort;15.1
01115;Confrançon;9.9
01116;Contrevoz;11.1
01117;Conzieu;22.2
01118;Corbonod;12.1
01121;Corlier;25
01123;Cormoranche-sur-Saône;16.3
01124;Cormoz;15.7
01125;Corveissiat;4.3
01127;Courmangoux;15.8
01128;Courtes;8.5
01129;Crans;6.1
01130;Bresse Vallons;8.8
01133;Cressin-Rochefort;6.1
01134;Crottet;11.8
01135;Crozet;10.9
01136;Cruzilles-lès-Mépillat;23.3
01138;Culoz;19.6
01139;Curciat-Dongalon;7.4
01140;Curtafond;7.7
01141;Cuzieu;16.1
01142;Dagneux;9.9
01143;Divonne-les-Bains;7.8
01145;Dompierre-sur-Veyle;18.3
01146;Dompierre-sur-Chalaronne;14.3
01147;Domsure;8.7
01148;Dortan;12.5
01149;Douvres;7.9
01150;Drom;14.3
01151;Druillat;12.3
01152;Échallon;9.6
01153;Échenevex;9
01155;Évosges;27.3
01156;Faramans;12.1
01157;Fareins;8.5
01158;Farges;13.6
01159;Feillens;10.9
01160;Ferney-Voltaire;20.6
01162;Flaxieu;33.3
01163;Foissiat;13.4
01165;Francheleins;9.8
01166;Frans;10.9
01167;Garnerans;14.9
01169;Genouilleux;11.3
01170;Béard-Géovreissiat;10.6
01171;Géovreisset;12
01173;Gex;10.7
01174;Giron;8.2
01175;Gorrevod;19.4
01177;Grand-Corent;21.4
01179;Grièges;12.2
01180;Grilly;10.3
01181;Groissiat;5.4
01183;Guéreins;13.8
01184;Hautecourt-Romanèche;11.7
01185;Plateau d'Hauteville;13.9
01187;Haut Valromey;22.9
01188;Illiat;10.1
01189;Injoux-Génissiat;9.9
01190;Innimond;25
01191;Izenave;13.5
01192;Izernore;11.1
01193;Izieu;5.9
01194;Jassans-Riottier;9.9
01195;Jasseron;8.7
01196;Jayat;4.9
01197;Journans;6.2
01198;Joyeux;23.5
01199;Jujurieux;13
01200;Labalme;18.8
01202;Lagnieu;11.9
01203;Laiz;10.8
01204;Le Poizat-Lalleyriat;23.9
01206;Lantenay;6.9
01207;Lapeyrouse;7.1
01208;Lavours;23.8
01209;Léaz;2.7
01210;Lélex;19.2
01211;Lent;11.5
01212;Lescheroux;10.3
01213;Leyment;12.5
01214;Leyssard;14.5
01215;Surjoux-Lhopital;24.4
01216;Lhuis;12.1
01219;Lompnas;15.4
01224;Loyettes;12.4
01225;Lurcy;6.4
01227;Magnieu;10.4
01228;Maillat;1.8
01229;Malafretaz;16
01230;Mantenay-Montlin;19.5
01231;Manziat;9.2
01232;Marboz;9.1
01233;Marchamp;0
01234;Marignieu;8.3
01235;Marlieux;15.1
01236;Marsonnas;10.8
01237;Martignat;19.9
01238;Massieux;10.3
01239;Massignieu-de-Rives;10.4
01240;Matafelon-Granges;3.8
01241;Meillonnas;4.3
01242;Mérignat;16.7
01243;Messimy-sur-Saône;9.3
01244;Meximieux;13.1
01245;Bohas-Meyriat-Rignat;4.5
01246;Mézériat;9.6
01247;Mijoux;26.8
01248;Mionnay;7.7
01249;Miribel;11.4
01250;Misérieux;13.4
01252;Mogneneins;5.3
01254;Montagnat;7.2
01255;Montagnieu;12
01257;Montanges;16.7
01258;Montceaux;16.5
01259;Montcet;9.9
01260;Le Montellier;13.8
01261;Monthieux;8.6
01262;Montluel;18.7
01263;Montmerle-sur-Saône;11
01264;Montracol;5.4
01265;Montréal-la-Cluse;20.1
01266;Montrevel-en-Bresse;14.8
01267;Nurieux-Volognat;15.2
01268;Murs-et-Gélignieux;18.8
01269;Nantua;25.5
01272;Neuville-les-Dames;12.2
01273;Neuville-sur-Ain;15.8
01274;Les Neyrolles;19.6
01275;Neyron;6.6
01276;Niévroz;4.7
01277;Nivollet-Montgriffon;10.2
01279;Oncieu;15.2
01280;Ordonnaz;29.4
01281;Ornex;13.2
01282;Outriaz;10.5
01283;Oyonnax;25.3
01284;Ozan;9.3
01285;Parcieux;15.7
01286;Parves et Nattages;10
01288;Péron;7.4
01289;Péronnas;18.5
01290;Pérouges;9.4
01291;Perrex;16.1
01293;Peyriat;8.8
01294;Peyrieu;15.9
01295;Peyzieux-sur-Saône;12.4
01296;Pirajoux;13
01297;Pizay;10.9
01298;Plagne;0
01299;Le Plantay;35
01301;Polliat;9.3
01302;Pollieu;7.8
01303;Poncin;12.1
01304;Pont-d'Ain;17.1
01305;Pont-de-Vaux;22.3
01306;Pont-de-Veyle;16.9
01307;Port;10.9
01308;Pougny;11.8
01309;Pouillat;0
01310;Prémeyzel;0
01311;Prémillieu;25
01313;Prévessin-Moëns;13.8
01314;Priay;12.5
01317;Ramasse;17.9
01318;Rancé;11.9
01319;Relevant;8.1
01320;Replonges;11.4
01321;Revonnas;6.7
01322;Reyrieux;12.3
01323;Reyssouze;7.8
01325;Rignieux-le-Franc;12.1
01328;Romans;8.6
01329;Rossillon;14.3
01330;Ruffieu;19.6
01331;Saint-Alban;16.1
01332;Saint-André-de-Bâgé;9.6
01333;Saint-André-de-Corcy;10.2
01334;Saint-André-d'Huiriat;8.2
01335;Saint-André-le-Bouchoux;7.7
01336;Saint-André-sur-Vieux-Jonc;14.1
01337;Saint-Bénigne;2.1
01338;Groslée-Saint-Benoit;11.5
01339;Saint-Bernard;9.4
01342;Sainte-Croix;8.2
01343;Saint-Cyr-sur-Menthon;8.9
01344;Saint-Denis-lès-Bourg;13.5
01345;Saint-Denis-en-Bugey;13.6
01346;Saint-Didier-d'Aussiat;14.2
01347;Saint-Didier-de-Formans;6.4
01348;Saint-Didier-sur-Chalaronne;15
01349;Saint-Éloi;7.8
01350;Saint-Étienne-du-Bois;9.2
01351;Saint-Étienne-sur-Chalaronne;9
01352;Saint-Étienne-sur-Reyssouze;7.5
01353;Sainte-Euphémie;7.7
01354;Saint-Genis-Pouilly;26.9
01355;Saint-Genis-sur-Menthon;19.4
01356;Saint-Georges-sur-Renon;7.1
01357;Saint-Germain-de-Joux;8.7
01358;Saint-Germain-les-Paroisses;8.6
01359;Saint-Germain-sur-Renon;0
01360;Saint-Jean-de-Gonville;9.7
01361;Saint-Jean-de-Niost;7.6
01362;Saint-Jean-de-Thurigneux;7.4
01363;Saint-Jean-le-Vieux;14
01364;Saint-Jean-sur-Reyssouze;7.4
01365;Saint-Jean-sur-Veyle;6.8
01366;Sainte-Julie;15.8
01367;Saint-Julien-sur-Reyssouze;7.1
01368;Saint-Julien-sur-Veyle;13.6
01369;Saint-Just;11
01370;Saint-Laurent-sur-Saône;13.9
01371;Saint-Marcel;12.1
01372;Saint-Martin-de-Bavel;17.4
01373;Saint-Martin-du-Frêne;10
01374;Saint-Martin-du-Mont;12.5
01375;Saint-Martin-le-Châtel;11.6
01376;Saint-Maurice-de-Beynost;16.6
01378;Saint-Maurice-de-Gourdans;10.8
01379;Saint-Maurice-de-Rémens;20.6
01380;Saint-Nizier-le-Bouchoux;14.8
01381;Saint-Nizier-le-Désert;14.8
01382;Sainte-Olive;15.5
01383;Saint-Paul-de-Varax;16.2
01384;Saint-Rambert-en-Bugey;23.8
01385;Saint-Rémy;12.2
01386;Saint-Sorlin-en-Bugey;10
01387;Saint-Sulpice;0
01388;Saint-Trivier-de-Courtes;18.6
01389;Saint-Trivier-sur-Moignans;15.8
01390;Saint-Vulbas;11.7
