Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Part des 30-44 ans 2019
01001;L'Abergement-Clémenciat;16.9
01002;L'Abergement-de-Varey;28.9
01004;Ambérieu-en-Bugey;19.3
01005;Ambérieux-en-Dombes;20.7
01006;Ambléon;13.6
01007;Ambronay;22.5
01008;Ambutrix;20.9
01009;Andert-et-Condon;16.8
01010;Anglefort;21.6
01011;Apremont;19.7
01012;Aranc;17.8
01013;Arandas;17.4
01014;Arbent;18.4
01015;Arboys en Bugey;16.4
01016;Arbigny;22.3
01017;Argis;21.7
01019;Armix;11.5
01021;Ars-sur-Formans;21.1
01022;Artemare;16.4
01023;Asnières-sur-Saône;17.1
01024;Attignat;20.5
01025;Bâgé-Dommartin;20
01026;Bâgé-le-Châtel;19.2
01027;Balan;19.5
01028;Baneins;21
01029;Beaupont;20.9
01030;Beauregard;21.7
01031;Bellignat;19.4
01032;Béligneux;22.5
01033;Valserhône;20.4
01034;Belley;17.1
01035;Belleydoux;21.1
01036;Valromey-sur-Séran;16.6
01037;Bénonces;22.3
01038;Bény;18.5
01039;Béon;19.2
01040;Béréziat;21
01041;Bettant;19
01042;Bey;21.8
01043;Beynost;18.2
01044;Billiat;23.8
01045;Birieux;23.1
01046;Biziat;20.8
01047;Blyes;23.6
01049;La Boisse;20.4
01050;Boissey;26.1
01051;Bolozon;12.4
01052;Bouligneux;15.5
01053;Bourg-en-Bresse;16.8
01054;Bourg-Saint-Christophe;23.4
01056;Boyeux-Saint-Jérôme;26.3
01057;Boz;21.2
01058;Brégnier-Cordon;18.2
01060;Brénod;15.1
01061;Brens;17
01062;Bressolles;20.8
01063;Brion;18.7
01064;Briord;21.8
01065;Buellas;18.9
01066;La Burbanche;19.1
01067;Ceignes;20.4
01068;Cerdon;18.4
01069;Certines;17.8
01071;Cessy;25.4
01072;Ceyzériat;18.6
01073;Ceyzérieu;17.7
01074;Chalamont;21.5
01075;Chaleins;21.3
01076;Chaley;12.3
01077;Challes-la-Montagne;25.4
01078;Challex;22.5
01079;Champagne-en-Valromey;14.2
01080;Champdor-Corcelles;18.4
01081;Champfromier;18.2
01082;Chanay;19.8
01083;Chaneins;20.6
01084;Chanoz-Châtenay;22.3
01085;La Chapelle-du-Châtelard;23.7
01087;Charix;19.1
01088;Charnoz-sur-Ain;15
01089;Château-Gaillard;22.7
01090;Châtenay;17.1
01092;Châtillon-la-Palud;18.6
01093;Châtillon-sur-Chalaronne;15.4
01094;Chavannes-sur-Reyssouze;18.7
01095;Nivigne et Suran;20.2
01096;Chaveyriat;18.4
01098;Chazey-Bons;17
01099;Chazey-sur-Ain;21.4
01100;Cheignieu-la-Balme;10.7
01101;Chevillard;19.7
01102;Chevroux;24.1
01103;Chevry;28.7
01104;Chézery-Forens;19.4
01105;Civrieux;22.1
01106;Cize;15.6
01107;Cleyzieu;18.5
01108;Coligny;16
01109;Collonges;26.4
01110;Colomieu;17.9
01111;Conand;21.2
01112;Condamine;24.8
01113;Condeissiat;20.8
01114;Confort;20.3
01115;Confrançon;23
01116;Contrevoz;20.5
01117;Conzieu;22.5
01118;Corbonod;19
01121;Corlier;17.2
01123;Cormoranche-sur-Saône;19.3
01124;Cormoz;18.8
01125;Corveissiat;20.4
01127;Courmangoux;19.2
01128;Courtes;18.9
01129;Crans;23.1
01130;Bresse Vallons;22.7
01133;Cressin-Rochefort;17.2
01134;Crottet;18.6
01135;Crozet;24.2
01136;Cruzilles-lès-Mépillat;19.5
01138;Culoz;17.7
01139;Curciat-Dongalon;18.4
01140;Curtafond;17.3
01141;Cuzieu;16.9
01142;Dagneux;21
01143;Divonne-les-Bains;24.2
01145;Dompierre-sur-Veyle;18.6
01146;Dompierre-sur-Chalaronne;18.6
01147;Domsure;17.8
01148;Dortan;16.9
01149;Douvres;17.2
01150;Drom;22.4
01151;Druillat;17.5
01152;Échallon;20
01153;Échenevex;24.5
01155;Évosges;17.6
01156;Faramans;21.1
01157;Fareins;18.2
01158;Farges;22.5
01159;Feillens;18.2
01160;Ferney-Voltaire;25.8
01162;Flaxieu;12.3
01163;Foissiat;17
01165;Francheleins;23.6
01166;Frans;18.5
01167;Garnerans;15.8
01169;Genouilleux;20.7
01170;Béard-Géovreissiat;20.6
01171;Géovreisset;15.6
01173;Gex;26
01174;Giron;18.8
01175;Gorrevod;17.7
01177;Grand-Corent;14.2
01179;Grièges;16.7
01180;Grilly;20.5
01181;Groissiat;16.3
01183;Guéreins;21.8
01184;Hautecourt-Romanèche;15.2
01185;Plateau d'Hauteville;14.8
01187;Haut Valromey;16.5
01188;Illiat;20.4
01189;Injoux-Génissiat;22.5
01190;Innimond;13.5
01191;Izenave;19.2
01192;Izernore;20.6
01193;Izieu;14.4
01194;Jassans-Riottier;16.4
01195;Jasseron;18.6
01196;Jayat;23.1
01197;Journans;17.2
01198;Joyeux;21.6
01199;Jujurieux;19.3
01200;Labalme;17.8
01202;Lagnieu;18.7
01203;Laiz;17.4
01204;Le Poizat-Lalleyriat;18.4
01206;Lantenay;17.4
01207;Lapeyrouse;20.5
01208;Lavours;14.8
01209;Léaz;26.7
01210;Lélex;18.8
01211;Lent;19.7
01212;Lescheroux;18.5
01213;Leyment;20.7
01214;Leyssard;16.8
01215;Surjoux-Lhopital;20.5
01216;Lhuis;18.8
01219;Lompnas;19.5
01224;Loyettes;23.9
01225;Lurcy;16.1
01227;Magnieu;16.8
01228;Maillat;18.5
01229;Malafretaz;18.4
01230;Mantenay-Montlin;19.2
01231;Manziat;17.8
01232;Marboz;17.9
01233;Marchamp;20.6
01234;Marignieu;16.6
01235;Marlieux;20.5
01236;Marsonnas;18.5
01237;Martignat;18.2
01238;Massieux;18.2
01239;Massignieu-de-Rives;18.1
01240;Matafelon-Granges;20.3
01241;Meillonnas;19.6
01242;Mérignat;20
01243;Messimy-sur-Saône;16.8
01244;Meximieux;20.5
01245;Bohas-Meyriat-Rignat;19
01246;Mézériat;19.4
01247;Mijoux;21.1
01248;Mionnay;17.3
01249;Miribel;20.6
01250;Misérieux;17.7
01252;Mogneneins;20.1
01254;Montagnat;19.3
01255;Montagnieu;20.1
01257;Montanges;19.1
01258;Montceaux;16.5
01259;Montcet;21.3
01260;Le Montellier;22.7
01261;Monthieux;17.2
01262;Montluel;19.1
01263;Montmerle-sur-Saône;17.6
01264;Montracol;18.4
01265;Montréal-la-Cluse;19.6
01266;Montrevel-en-Bresse;14.5
01267;Nurieux-Volognat;20.1
01268;Murs-et-Gélignieux;18.7
01269;Nantua;19.3
01272;Neuville-les-Dames;18.4
01273;Neuville-sur-Ain;20.6
01274;Les Neyrolles;20.8
01275;Neyron;18.3
01276;Niévroz;20
01277;Nivollet-Montgriffon;18.5
01279;Oncieu;14.3
01280;Ordonnaz;17
01281;Ornex;22.6
01282;Outriaz;21.7
01283;Oyonnax;18.4
01284;Ozan;22.4
01285;Parcieux;18.5
01286;Parves et Nattages;16.3
01288;Péron;26.1
01289;Péronnas;14.1
01290;Pérouges;15.9
01291;Perrex;17.6
01293;Peyriat;16.6
01294;Peyrieu;22.5
01295;Peyzieux-sur-Saône;26.6
01296;Pirajoux;21.8
01297;Pizay;20.3
01298;Plagne;23.3
01299;Le Plantay;20.1
01301;Polliat;18.1
01302;Pollieu;13.3
01303;Poncin;18.2
01304;Pont-d'Ain;18.7
01305;Pont-de-Vaux;14.9
01306;Pont-de-Veyle;18
01307;Port;15.8
01308;Pougny;19
01309;Pouillat;14.8
