Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Part des 65 ans et plus 2019
01001;L'Abergement-Clémenciat;19.3
01002;L'Abergement-de-Varey;17.8
01004;Ambérieu-en-Bugey;17.5
01005;Ambérieux-en-Dombes;16.2
01006;Ambléon;23.6
01007;Ambronay;16.2
01008;Ambutrix;13.6
01009;Andert-et-Condon;28
01010;Anglefort;16.4
01011;Apremont;17.8
01012;Aranc;26
01013;Arandas;20.1
01014;Arbent;20.7
01015;Arboys en Bugey;25.3
01016;Arbigny;21.4
01017;Argis;20.6
01019;Armix;30.8
01021;Ars-sur-Formans;16.1
01022;Artemare;23.1
01023;Asnières-sur-Saône;18.4
01024;Attignat;17
01025;Bâgé-Dommartin;16.2
01026;Bâgé-le-Châtel;25.3
01027;Balan;9.4
01028;Baneins;17.3
01029;Beaupont;17.6
01030;Beauregard;15.2
01031;Bellignat;16.8
01032;Béligneux;13.4
01033;Valserhône;16.2
01034;Belley;23
01035;Belleydoux;18.8
01036;Valromey-sur-Séran;25.7
01037;Bénonces;21.8
01038;Bény;19.1
01039;Béon;18.9
01040;Béréziat;15.2
01041;Bettant;17.3
01042;Bey;16.3
01043;Beynost;18.1
01044;Billiat;15.6
01045;Birieux;13.6
01046;Biziat;13.8
01047;Blyes;9.2
01049;La Boisse;15.7
01050;Boissey;13.1
01051;Bolozon;30.3
01052;Bouligneux;23.8
01053;Bourg-en-Bresse;22.8
01054;Bourg-Saint-Christophe;12
01056;Boyeux-Saint-Jérôme;21.6
01057;Boz;15.8
01058;Brégnier-Cordon;21
01060;Brénod;26.6
01061;Brens;20.4
01062;Bressolles;15.5
01063;Brion;24.9
01064;Briord;11
01065;Buellas;19.8
01066;La Burbanche;16.9
01067;Ceignes;9.4
01068;Cerdon;23.4
01069;Certines;14.3
01071;Cessy;9.1
01072;Ceyzériat;20.5
01073;Ceyzérieu;24.5
01074;Chalamont;19.1
01075;Chaleins;13
01076;Chaley;33.1
01077;Challes-la-Montagne;19.2
01078;Challex;17.1
01079;Champagne-en-Valromey;31.9
01080;Champdor-Corcelles;21.4
01081;Champfromier;19.9
01082;Chanay;12.3
01083;Chaneins;13.9
01084;Chanoz-Châtenay;15.6
01085;La Chapelle-du-Châtelard;14.5
01087;Charix;20.9
01088;Charnoz-sur-Ain;11.9
01089;Château-Gaillard;12.6
01090;Châtenay;22.2
01092;Châtillon-la-Palud;17.1
01093;Châtillon-sur-Chalaronne;27.6
01094;Chavannes-sur-Reyssouze;20.3
01095;Nivigne et Suran;15.7
01096;Chaveyriat;14.7
01098;Chazey-Bons;19.6
01099;Chazey-sur-Ain;16.5
01100;Cheignieu-la-Balme;36.6
01101;Chevillard;17.1
01102;Chevroux;13.6
01103;Chevry;8.6
01104;Chézery-Forens;18
01105;Civrieux;12.4
01106;Cize;22.3
01107;Cleyzieu;22.2
01108;Coligny;31.7
01109;Collonges;9.4
01110;Colomieu;21.2
01111;Conand;21.2
01112;Condamine;10.5
01113;Condeissiat;16.3
01114;Confort;24.1
01115;Confrançon;13.2
01116;Contrevoz;24.7
01117;Conzieu;16.6
01118;Corbonod;20.3
01121;Corlier;13.8
01123;Cormoranche-sur-Saône;19.2
01124;Cormoz;20.5
01125;Corveissiat;17.3
01127;Courmangoux;25.1
01128;Courtes;20.9
01129;Crans;22.4
01130;Bresse Vallons;12.9
01133;Cressin-Rochefort;21.5
01134;Crottet;18.9
01135;Crozet;11.2
01136;Cruzilles-lès-Mépillat;15.9
01138;Culoz;21.5
01139;Curciat-Dongalon;26.8
01140;Curtafond;22.7
01141;Cuzieu;21.6
01142;Dagneux;13.5
01143;Divonne-les-Bains;15.4
01145;Dompierre-sur-Veyle;17.3
01146;Dompierre-sur-Chalaronne;16.3
01147;Domsure;21.4
01148;Dortan;17.5
01149;Douvres;17.6
01150;Drom;13.1
01151;Druillat;22.9
01152;Échallon;18.2
01153;Échenevex;11.2
01155;Évosges;21.8
01156;Faramans;13.2
01157;Fareins;19.7
01158;Farges;11.8
01159;Feillens;20.5
01160;Ferney-Voltaire;12.6
01162;Flaxieu;21.5
01163;Foissiat;22.7
01165;Francheleins;14.2
01166;Frans;16.6
01167;Garnerans;18.5
01169;Genouilleux;11.7
01170;Béard-Géovreissiat;8.9
01171;Géovreisset;14.7
01173;Gex;10.1
01174;Giron;17
01175;Gorrevod;19.9
01177;Grand-Corent;27.9
01179;Grièges;23
01180;Grilly;18.4
01181;Groissiat;21.4
01183;Guéreins;17.2
01184;Hautecourt-Romanèche;21.2
01185;Plateau d'Hauteville;28.2
01187;Haut Valromey;25.4
01188;Illiat;14
01189;Injoux-Génissiat;13.1
01190;Innimond;29.2
01191;Izenave;22.4
01192;Izernore;14.7
01193;Izieu;26.6
01194;Jassans-Riottier;22
01195;Jasseron;21.3
01196;Jayat;13.9
01197;Journans;21.8
01198;Joyeux;12.1
01199;Jujurieux;19.2
01200;Labalme;18.3
01202;Lagnieu;19.9
01203;Laiz;15.9
01204;Le Poizat-Lalleyriat;15.5
01206;Lantenay;19.1
01207;Lapeyrouse;11.5
01208;Lavours;30.4
01209;Léaz;11.8
01210;Lélex;19.7
01211;Lent;18.7
01212;Lescheroux;19.7
01213;Leyment;10.7
01214;Leyssard;19.9
01215;Surjoux-Lhopital;16.8
01216;Lhuis;25.8
01219;Lompnas;21.3
01224;Loyettes;12.9
01225;Lurcy;20.9
01227;Magnieu;19.8
01228;Maillat;17.6
01229;Malafretaz;19.2
01230;Mantenay-Montlin;23.3
01231;Manziat;21.5
01232;Marboz;21.4
01233;Marchamp;24.4
01234;Marignieu;21.9
01235;Marlieux;16.2
01236;Marsonnas;18.7
01237;Martignat;14.4
01238;Massieux;17.3
01239;Massignieu-de-Rives;23.2
01240;Matafelon-Granges;15.8
01241;Meillonnas;20.8
01242;Mérignat;14.1
01243;Messimy-sur-Saône;18.4
01244;Meximieux;17.6
01245;Bohas-Meyriat-Rignat;18.9
01246;Mézériat;18.8
01247;Mijoux;15.1
01248;Mionnay;13.8
01249;Miribel;16.4
01250;Misérieux;13.8
01252;Mogneneins;17
01254;Montagnat;18.8
01255;Montagnieu;17.8
01257;Montanges;16
01258;Montceaux;13.6
01259;Montcet;12.4
01260;Le Montellier;12.5
01261;Monthieux;14.8
01262;Montluel;18.3
01263;Montmerle-sur-Saône;22.1
01264;Montracol;16.5
01265;Montréal-la-Cluse;16.5
01266;Montrevel-en-Bresse;29.5
01267;Nurieux-Volognat;17.3
01268;Murs-et-Gélignieux;25.2
01269;Nantua;20
01272;Neuville-les-Dames;22.6
01273;Neuville-sur-Ain;15.2
01274;Les Neyrolles;16
01275;Neyron;17.4
01276;Niévroz;12.2
01277;Nivollet-Montgriffon;16.8
01279;Oncieu;27.4
01280;Ordonnaz;24.1
01281;Ornex;11.7
01282;Outriaz;20.5
01283;Oyonnax;18
01284;Ozan;14.1
01285;Parcieux;15.6
01286;Parves et Nattages;22.9
01288;Péron;9.1
01289;Péronnas;25.9
01290;Pérouges;21.8
01291;Perrex;19
01293;Peyriat;15.9
01294;Peyrieu;18.6
01295;Peyzieux-sur-Saône;6.4
01296;Pirajoux;17.4
01297;Pizay;12.7
01298;Plagne;23.3
01299;Le Plantay;13.2
01301;Polliat;20.6
01302;Pollieu;27.9
01303;Poncin;21
01304;Pont-d'Ain;19.7
01305;Pont-de-Vaux;30.9
01306;Pont-de-Veyle;26.5
01307;Port;22.1
01308;Pougny;17
01309;Pouillat;21.6
01310;Prémeyzel;13.9
01311;Prémillieu;20.5
01313;Prévessin-Moëns;9.8
01314;Priay;15.8
01317;Ramasse;14.5
01318;Rancé;12.3
01319;Relevant;17.3
01320;Replonges;20.1
01321;Revonnas;17.2
01322;Reyrieux;18.9
01323;Reyssouze;20.8
01325;Rignieux-le-Franc;16.4
01328;Romans;24.5
01329;Rossillon;29.4
01330;Ruffieu;28.3
01331;Saint-Alban;15.6
01332;Saint-André-de-Bâgé;15.8
01333;Saint-André-de-Corcy;19.7
01334;Saint-André-d'Huiriat;10.9
