Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Taux de chômage des 15 ans et plus (RP) 2018
01001;L'Abergement-Clémenciat;8.8
01002;L'Abergement-de-Varey;8.1
01004;Ambérieu-en-Bugey;14.9
01005;Ambérieux-en-Dombes;6.2
01006;Ambléon;13.8
01007;Ambronay;7.5
01008;Ambutrix;6.4
01009;Andert-et-Condon;11.3
01010;Anglefort;9.7
01011;Apremont;9.4
01012;Aranc;11.4
01013;Arandas;9.9
01014;Arbent;14.1
01015;Arboys en Bugey;12.5
01016;Arbigny;7.4
01017;Argis;14.5
01019;Armix;30.8
01021;Ars-sur-Formans;6.5
01022;Artemare;14.3
01023;Asnières-sur-Saône;12.2
01024;Attignat;7
01025;Bâgé-Dommartin;7.1
01026;Bâgé-le-Châtel;8.8
01027;Balan;5
01028;Baneins;4
01029;Beaupont;9.9
01030;Beauregard;8.1
01031;Bellignat;14.9
01032;Béligneux;8.5
01033;Valserhône;15.5
01034;Belley;16.3
01035;Belleydoux;4.4
01036;Valromey-sur-Séran;8.5
01037;Bénonces;8.1
01038;Bény;5.9
01039;Béon;12.5
01040;Béréziat;5.6
01041;Bettant;9
01042;Bey;5.6
01043;Beynost;6.6
01044;Billiat;13.2
01045;Birieux;6.3
01046;Biziat;6.4
01047;Blyes;7.2
01049;La Boisse;8.2
01050;Boissey;5.4
01051;Bolozon;18.6
01052;Bouligneux;7.1
01053;Bourg-en-Bresse;17.7
01054;Bourg-Saint-Christophe;5.1
01056;Boyeux-Saint-Jérôme;9.9
01057;Boz;4.3
01058;Brégnier-Cordon;8.4
01060;Brénod;7
01061;Brens;8.4
01062;Bressolles;6.9
01063;Brion;9.3
01064;Briord;7.2
01065;Buellas;5.8
01066;La Burbanche;14.3
01067;Ceignes;5.8
01068;Cerdon;11
01069;Certines;6.2
01071;Cessy;8.8
01072;Ceyzériat;8.5
01073;Ceyzérieu;8.8
01074;Chalamont;9.2
01075;Chaleins;6.5
01076;Chaley;20.7
01077;Challes-la-Montagne;13
01078;Challex;6.7
01079;Champagne-en-Valromey;7.1
01080;Champdor-Corcelles;9
01081;Champfromier;9.3
01082;Chanay;10.6
01083;Chaneins;7.2
01084;Chanoz-Châtenay;5.7
01085;La Chapelle-du-Châtelard;8.4
01087;Charix;10.6
01088;Charnoz-sur-Ain;7.6
01089;Château-Gaillard;6.7
01090;Châtenay;7.6
01092;Châtillon-la-Palud;6
01093;Châtillon-sur-Chalaronne;10.5
01094;Chavannes-sur-Reyssouze;7
01095;Nivigne et Suran;12.9
01096;Chaveyriat;5.7
01098;Chazey-Bons;12.5
01099;Chazey-sur-Ain;6.5
01100;Cheignieu-la-Balme;17.6
01101;Chevillard;0
01102;Chevroux;7.4
01103;Chevry;7
01104;Chézery-Forens;7.2
01105;Civrieux;5.5
01106;Cize;10.1
01107;Cleyzieu;7.1
01108;Coligny;8.8
01109;Collonges;9.9
01110;Colomieu;12.5
01111;Conand;3.1
01112;Condamine;5.6
01113;Condeissiat;8.5
01114;Confort;6.6
01115;Confrançon;8.4
01116;Contrevoz;11.2
01117;Conzieu;10
01118;Corbonod;10.8
01121;Corlier;9
01123;Cormoranche-sur-Saône;7.9
01124;Cormoz;9.5
01125;Corveissiat;11.1
01127;Courmangoux;6
01128;Courtes;14.4
01129;Crans;6.9
01130;Bresse Vallons;6.3
01133;Cressin-Rochefort;9.2
01134;Crottet;7.7
01135;Crozet;8.5
01136;Cruzilles-lès-Mépillat;8.2
01138;Culoz;13
01139;Curciat-Dongalon;10.6
01140;Curtafond;7.8
01141;Cuzieu;9.4
01142;Dagneux;9.5
01143;Divonne-les-Bains;11
01145;Dompierre-sur-Veyle;9
01146;Dompierre-sur-Chalaronne;5.8
01147;Domsure;14.7
01148;Dortan;11.6
01149;Douvres;9.4
01150;Drom;7.2
01151;Druillat;5.5
01152;Échallon;6.5
01153;Échenevex;7.6
01155;Évosges;4.2
01156;Faramans;3.3
01157;Fareins;8.8
01158;Farges;7.9
01159;Feillens;7.4
01160;Ferney-Voltaire;13.5
01162;Flaxieu;6.2
01163;Foissiat;6.1
01165;Francheleins;4.3
01166;Frans;7.6
01167;Garnerans;6.4
01169;Genouilleux;4.6
01170;Béard-Géovreissiat;7.4
01171;Géovreisset;10.3
01173;Gex;10.4
01174;Giron;5.4
01175;Gorrevod;10.1
01177;Grand-Corent;7.3
01179;Grièges;6.7
01180;Grilly;7.7
01181;Groissiat;8.1
01183;Guéreins;4.6
01184;Hautecourt-Romanèche;6.3
01185;Plateau d'Hauteville;8.1
01187;Haut Valromey;7.9
01188;Illiat;5.9
01189;Injoux-Génissiat;8.2
01190;Innimond;2.6
01191;Izenave;4.7
01192;Izernore;10.4
01193;Izieu;11.6
01194;Jassans-Riottier;9.7
01195;Jasseron;7.6
01196;Jayat;5.8
01197;Journans;3.9
01198;Joyeux;8
01199;Jujurieux;10.9
01200;Labalme;6.9
01202;Lagnieu;12.4
01203;Laiz;6.9
01204;Le Poizat-Lalleyriat;9.8
01206;Lantenay;2.8
01207;Lapeyrouse;3.5
01208;Lavours;6.9
01209;Léaz;13.6
01210;Lélex;3.8
01211;Lent;7.4
01212;Lescheroux;9.1
01213;Leyment;6.8
01214;Leyssard;7.1
01215;Surjoux-Lhopital;7.9
01216;Lhuis;8.8
01219;Lompnas;9.8
01224;Loyettes;10.8
01225;Lurcy;4.4
01227;Magnieu;6.5
01228;Maillat;5.5
01229;Malafretaz;6.7
01230;Mantenay-Montlin;7.8
01231;Manziat;5.9
01232;Marboz;6.7
01233;Marchamp;7.1
01234;Marignieu;7.1
01235;Marlieux;8.1
01236;Marsonnas;7.6
01237;Martignat;10.2
01238;Massieux;6.5
01239;Massignieu-de-Rives;6.7
01240;Matafelon-Granges;10.9
01241;Meillonnas;9
01242;Mérignat;21.1
01243;Messimy-sur-Saône;8.8
01244;Meximieux;9.8
01245;Bohas-Meyriat-Rignat;7.4
01246;Mézériat;11.5
01247;Mijoux;2.9
01248;Mionnay;6.8
01249;Miribel;8.9
01250;Misérieux;7.3
01252;Mogneneins;7.6
01254;Montagnat;6.5
01255;Montagnieu;8.9
01257;Montanges;6.3
01258;Montceaux;9.1
01259;Montcet;2.8
01260;Le Montellier;3.8
01261;Monthieux;4.3
01262;Montluel;10
01263;Montmerle-sur-Saône;6.1
01264;Montracol;4.8
01265;Montréal-la-Cluse;14
01266;Montrevel-en-Bresse;9.9
01267;Nurieux-Volognat;8.8
01268;Murs-et-Gélignieux;10.7
01269;Nantua;14.7
01272;Neuville-les-Dames;6.9
01273;Neuville-sur-Ain;10.3
01274;Les Neyrolles;16.2
01275;Neyron;7.5
01276;Niévroz;6.7
01277;Nivollet-Montgriffon;10.5
01279;Oncieu;6.8
01280;Ordonnaz;8.1
01281;Ornex;11.2
01282;Outriaz;5.5
01283;Oyonnax;17.4
01284;Ozan;7.7
01285;Parcieux;6.1
01286;Parves et Nattages;5.6
01288;Péron;7.7
01289;Péronnas;11.7
01290;Pérouges;6.2
01291;Perrex;6.1
01293;Peyriat;5.1
01294;Peyrieu;7.5
01295;Peyzieux-sur-Saône;10
01296;Pirajoux;7.5
01297;Pizay;6.2
01298;Plagne;9.6
01299;Le Plantay;6.8
01301;Polliat;7.2
01302;Pollieu;9.2
01303;Poncin;12.7
01304;Pont-d'Ain;10.3
01305;Pont-de-Vaux;11.2
01306;Pont-de-Veyle;12.3
01307;Port;9.1
01308;Pougny;6.6
01309;Pouillat;14.3
01310;Prémeyzel;23
01311;Prémillieu;8.7
01313;Prévessin-Moëns;10.2
01314;Priay;8.8
01317;Ramasse;7.8
01318;Rancé;5
01319;Relevant;4.7
01320;Replonges;7.7
01321;Revonnas;6.7
01322;Reyrieux;5.9
01323;Reyssouze;9.4
01325;Rignieux-le-Franc;7.9
01328;Romans;6.1
01329;Rossillon;22.2
01330;Ruffieu;10.4
01331;Saint-Alban;8.8
01332;Saint-André-de-Bâgé;7.7
01333;Saint-André-de-Corcy;7.1
01334;Saint-André-d'Huiriat;7.3
01335;Saint-André-le-Bouchoux;6.3
01336;Saint-André-sur-Vieux-Jonc;8.3
01337;Saint-Bénigne;9.2
01338;Groslée-Saint-Benoit;9.5
01339;Saint-Bernard;3.5
01342;Sainte-Croix;7.3
01343;Saint-Cyr-sur-Menthon;6.8
01344;Saint-Denis-lès-Bourg;8.1
01345;Saint-Denis-en-Bugey;7.5
01346;Saint-Didier-d'Aussiat;5.2
01347;Saint-Didier-de-Formans;6.4
01348;Saint-Didier-sur-Chalaronne;8.1
01349;Saint-Éloi;3.9
01350;Saint-Étienne-du-Bois;6.9
01351;Saint-Étienne-sur-Chalaronne;7.5
01352;Saint-Étienne-sur-Reyssouze;10
01353;Sainte-Euphémie;6.2
01354;Saint-Genis-Pouilly;10.2
01355;Saint-Genis-sur-Menthon;10.7
01356;Saint-Georges-sur-Renon;10.3
01357;Saint-Germain-de-Joux;10.9
