Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Grille communale de densité
01001;L'Abergement-Clémenciat;3
01002;L'Abergement-de-Varey;4
01004;Ambérieu-en-Bugey;2
01005;Ambérieux-en-Dombes;3
01006;Ambléon;4
01007;Ambronay;3
01008;Ambutrix;2
01009;Andert-et-Condon;3
01010;Anglefort;3
01011;Apremont;3
01012;Aranc;4
01013;Arandas;4
01014;Arbent;2
01015;Arboys en Bugey;4
01016;Arbigny;3
01017;Argis;3
01019;Armix;4
01021;Ars-sur-Formans;3
01022;Artemare;3
01023;Asnières-sur-Saône;4
01024;Attignat;3
01025;Bâgé-Dommartin;3
01026;Bâgé-le-Châtel;3
01027;Balan;3
01028;Baneins;3
01029;Beaupont;3
01030;Beauregard;2
01031;Bellignat;2
01032;Béligneux;3
01033;Valserhône;2
01034;Belley;2
01035;Belleydoux;4
01036;Valromey-sur-Séran;3
01037;Bénonces;4
01038;Bény;3
01039;Béon;3
01040;Béréziat;3
01041;Bettant;2
01042;Bey;3
01043;Beynost;2
01044;Billiat;3
01045;Birieux;4
01046;Biziat;3
01047;Blyes;3
01049;La Boisse;2
01050;Boissey;3
01051;Bolozon;4
01052;Bouligneux;4
01053;Bourg-en-Bresse;2
01054;Bourg-Saint-Christophe;3
01056;Boyeux-Saint-Jérôme;4
01057;Boz;3
01058;Brégnier-Cordon;3
01060;Brénod;3
01061;Brens;3
01062;Bressolles;2
01063;Brion;2
01064;Briord;3
01065;Buellas;3
01066;La Burbanche;4
01067;Ceignes;4
01068;Cerdon;3
01069;Certines;3
01071;Cessy;2
01072;Ceyzériat;3
01073;Ceyzérieu;3
01074;Chalamont;3
01075;Chaleins;3
01076;Chaley;4
01077;Challes-la-Montagne;4
01078;Challex;2
01079;Champagne-en-Valromey;3
01080;Champdor-Corcelles;3
01081;Champfromier;3
01082;Chanay;3
01083;Chaneins;3
01084;Chanoz-Châtenay;3
01085;La Chapelle-du-Châtelard;3
01087;Charix;4
01088;Charnoz-sur-Ain;3
01089;Château-Gaillard;3
01090;Châtenay;4
01092;Châtillon-la-Palud;3
01093;Châtillon-sur-Chalaronne;3
01094;Chavannes-sur-Reyssouze;3
01095;Nivigne et Suran;4
01096;Chaveyriat;3
01098;Chazey-Bons;3
01099;Chazey-sur-Ain;3
01100;Cheignieu-la-Balme;4
01101;Chevillard;4
01102;Chevroux;3
01103;Chevry;2
01104;Chézery-Forens;3
01105;Civrieux;3
01106;Cize;4
01107;Cleyzieu;4
01108;Coligny;3
01109;Collonges;3
01110;Colomieu;4
01111;Conand;4
01112;Condamine;3
01113;Condeissiat;3
01114;Confort;3
01115;Confrançon;3
01116;Contrevoz;3
01117;Conzieu;4
01118;Corbonod;3
01121;Corlier;4
01123;Cormoranche-sur-Saône;3
01124;Cormoz;3
01125;Corveissiat;3
01127;Courmangoux;3
01128;Courtes;3
01129;Crans;4
01130;Bresse Vallons;3
01133;Cressin-Rochefort;3
01134;Crottet;3
01135;Crozet;2
01136;Cruzilles-lès-Mépillat;3
01138;Culoz;3
01139;Curciat-Dongalon;3
01140;Curtafond;3
01141;Cuzieu;3
01142;Dagneux;2
01143;Divonne-les-Bains;2
01145;Dompierre-sur-Veyle;3
01146;Dompierre-sur-Chalaronne;3
01147;Domsure;4
01148;Dortan;3
01149;Douvres;3
01150;Drom;4
01151;Druillat;3
01152;Échallon;3
01153;Échenevex;2
01155;Évosges;4
01156;Faramans;3
01157;Fareins;3
01158;Farges;3
01159;Feillens;3
01160;Ferney-Voltaire;2
01162;Flaxieu;3
01163;Foissiat;3
01165;Francheleins;3
01166;Frans;2
01167;Garnerans;3
01169;Genouilleux;2
01170;Béard-Géovreissiat;2
01171;Géovreisset;2
01173;Gex;2
01174;Giron;4
01175;Gorrevod;3
