Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Médiane du revenu disponible par UC 2020
01001;L'Abergement-Clémenciat;24820
01002;L'Abergement-de-Varey;23220
01004;Ambérieu-en-Bugey;21070
01005;Ambérieux-en-Dombes;24380
01006;Ambléon;N/A
01007;Ambronay;24330
01008;Ambutrix;26120
01009;Andert-et-Condon;24410
01010;Anglefort;24700
01011;Apremont;24690
01012;Aranc;22300
01013;Arandas;22190
01014;Arbent;21670
01015;Arboys en Bugey;22960
01016;Arbigny;22280
01017;Argis;20950
01019;Armix;N/A
01021;Ars-sur-Formans;25400
01022;Artemare;20990
01023;Asnières-sur-Saône;N/A
01024;Attignat;23420
01025;Bâgé-Dommartin;23880
01026;Bâgé-le-Châtel;22100
01027;Balan;24870
01028;Baneins;23400
01029;Beaupont;21260
01030;Beauregard;22780
01031;Bellignat;20180
01032;Béligneux;22610
01033;Valserhône;23140
01034;Belley;20550
01035;Belleydoux;24930
01036;Valromey-sur-Séran;23680
01037;Bénonces;21950
01038;Bény;23550
01039;Béon;23460
01040;Béréziat;23090
01041;Bettant;24040
01042;Bey;24960
01043;Beynost;28090
01044;Billiat;26950
01045;Birieux;28510
01046;Biziat;23580
01047;Blyes;26330
01049;La Boisse;25560
01050;Boissey;22750
01051;Bolozon;N/A
01052;Bouligneux;26030
01053;Bourg-en-Bresse;19640
01054;Bourg-Saint-Christophe;26020
01056;Boyeux-Saint-Jérôme;21220
01057;Boz;23350
01058;Brégnier-Cordon;22990
01060;Brénod;23850
01061;Brens;24550
01062;Bressolles;28420
01063;Brion;24690
01064;Briord;21930
01065;Buellas;26450
01066;La Burbanche;N/A
01067;Ceignes;25060
01068;Cerdon;21360
01069;Certines;25040
01071;Cessy;39950
01072;Ceyzériat;25010
01073;Ceyzérieu;24710
01074;Chalamont;22690
01075;Chaleins;24170
01076;Chaley;20880
01077;Challes-la-Montagne;22770
01078;Challex;42350
01079;Champagne-en-Valromey;22020
01080;Champdor-Corcelles;22490
01081;Champfromier;25300
01082;Chanay;25710
01083;Chaneins;24310
01084;Chanoz-Châtenay;23060
01085;La Chapelle-du-Châtelard;24560
01087;Charix;24720
01088;Charnoz-sur-Ain;27430
01089;Château-Gaillard;24490
01090;Châtenay;21710
01092;Châtillon-la-Palud;25120
01093;Châtillon-sur-Chalaronne;22690
01094;Chavannes-sur-Reyssouze;22100
01095;Nivigne et Suran;22050
01096;Chaveyriat;22570
01098;Chazey-Bons;21600
01099;Chazey-sur-Ain;25480
01100;Cheignieu-la-Balme;20380
01101;Chevillard;26760
01102;Chevroux;23470
01103;Chevry;40150
01104;Chézery-Forens;26070
01105;Civrieux;28050
01106;Cize;21560
01107;Cleyzieu;21970
01108;Coligny;22230
01109;Collonges;32850
01110;Colomieu;20910
01111;Conand;20190
01112;Condamine;24260
01113;Condeissiat;22650
01114;Confort;30710
01115;Confrançon;23080
01116;Contrevoz;22740
01117;Conzieu;22590
01118;Corbonod;26030
01121;Corlier;22770
01123;Cormoranche-sur-Saône;24470
01124;Cormoz;22850
01125;Corveissiat;23620
01127;Courmangoux;23190
01128;Courtes;22100
01129;Crans;25420
01130;Bresse Vallons;23420
01133;Cressin-Rochefort;23530
01134;Crottet;23750
01135;Crozet;39880
01136;Cruzilles-lès-Mépillat;24400
01138;Culoz;21240
01139;Curciat-Dongalon;20130
01140;Curtafond;24220
01141;Cuzieu;25140
01142;Dagneux;24770
01143;Divonne-les-Bains;45020
01145;Dompierre-sur-Veyle;23000
01146;Dompierre-sur-Chalaronne;23770
01147;Domsure;20910
01148;Dortan;23390
01149;Douvres;26250
01150;Drom;24150
01151;Druillat;24530
01152;Échallon;27020
01153;Échenevex;47940
01155;Évosges;22630
01156;Faramans;25450
01157;Fareins;26310
01158;Farges;34360
01159;Feillens;23270
01160;Ferney-Voltaire;26970
01162;Flaxieu;N/A
01163;Foissiat;23180
01165;Francheleins;25050
01166;Frans;26070
01167;Garnerans;23960
01169;Genouilleux;25380
