Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Part des "artisans, commerçants, chefs d'entreprise" dans la population 2018
01001;L'Abergement-Clémenciat;3.3
01002;L'Abergement-de-Varey;10.3
01004;Ambérieu-en-Bugey;2.8
01005;Ambérieux-en-Dombes;8.1
01006;Ambléon;0
01007;Ambronay;2.3
01008;Ambutrix;2.4
01009;Andert-et-Condon;9.1
01010;Anglefort;4.1
01011;Apremont;1.7
01012;Aranc;7.5
01013;Arandas;4.3
01014;Arbent;4.3
01015;Arboys en Bugey;1.8
01016;Arbigny;7
01017;Argis;0
01019;Armix;0
01021;Ars-sur-Formans;4.9
01022;Artemare;4.8
01023;Asnières-sur-Saône;0
01024;Attignat;3.8
01025;Bâgé-Dommartin;3.5
01026;Bâgé-le-Châtel;2.5
01027;Balan;2.9
01028;Baneins;8.1
01029;Beaupont;0
01030;Beauregard;7.7
01031;Bellignat;2.9
01032;Béligneux;4.1
01033;Valserhône;3
01034;Belley;3.3
01035;Belleydoux;7.9
01036;Valromey-sur-Séran;6.5
01037;Bénonces;2
01038;Bény;4.8
01039;Béon;1.5
01040;Béréziat;2.8
01041;Bettant;3
01042;Bey;4
01043;Beynost;3.9
01044;Billiat;1.9
01045;Birieux;2.4
01046;Biziat;1.5
01047;Blyes;7.1
01049;La Boisse;6.5
01050;Boissey;18.7
01051;Bolozon;6.1
01052;Bouligneux;5.9
01053;Bourg-en-Bresse;2.2
01054;Bourg-Saint-Christophe;7.2
01056;Boyeux-Saint-Jérôme;1.8
01057;Boz;8.9
01058;Brégnier-Cordon;5.4
01060;Brénod;3.7
01061;Brens;5.8
01062;Bressolles;6.8
01063;Brion;5.9
01064;Briord;4.7
01065;Buellas;6.2
01066;La Burbanche;0
01067;Ceignes;7.2
01068;Cerdon;3.8
01069;Certines;4.5
01071;Cessy;3.9
01072;Ceyzériat;3.9
01073;Ceyzérieu;4.8
01074;Chalamont;6.2
01075;Chaleins;6.8
01076;Chaley;0
01077;Challes-la-Montagne;0
01078;Challex;4
01079;Champagne-en-Valromey;4.5
01080;Champdor-Corcelles;0
01081;Champfromier;3.4
01082;Chanay;1
01083;Chaneins;7.4
01084;Chanoz-Châtenay;8.8
01085;La Chapelle-du-Châtelard;4.9
01087;Charix;4.6
01088;Charnoz-sur-Ain;2
01089;Château-Gaillard;2.6
01090;Châtenay;8.8
01092;Châtillon-la-Palud;4.2
01093;Châtillon-sur-Chalaronne;4
01094;Chavannes-sur-Reyssouze;3.1
01095;Nivigne et Suran;9.2
01096;Chaveyriat;6.7
01098;Chazey-Bons;2.3
01099;Chazey-sur-Ain;6.7
01100;Cheignieu-la-Balme;0
01101;Chevillard;0
01102;Chevroux;5.4
01103;Chevry;5.1
01104;Chézery-Forens;5.3
01105;Civrieux;8
01106;Cize;3.4
01107;Cleyzieu;0
01108;Coligny;2
01109;Collonges;6.2
01110;Colomieu;3.8
01111;Conand;14
01112;Condamine;5.6
01113;Condeissiat;4.6
01114;Confort;2.1
01115;Confrançon;2.9
01116;Contrevoz;2.6
01117;Conzieu;8.8
01118;Corbonod;6.3
01121;Corlier;0
01123;Cormoranche-sur-Saône;5
