Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Part des "autres sans activité professionnelle" dans la population 2018
01001;L'Abergement-Clémenciat;4.9
01002;L'Abergement-de-Varey;10.3
01004;Ambérieu-en-Bugey;16.2
01005;Ambérieux-en-Dombes;8.5
01006;Ambléon;5.4
01007;Ambronay;12
01008;Ambutrix;8.9
01009;Andert-et-Condon;10.9
01010;Anglefort;12.1
01011;Apremont;8.7
01012;Aranc;7.5
01013;Arandas;8.7
01014;Arbent;16.9
01015;Arboys en Bugey;11
01016;Arbigny;5.6
01017;Argis;23
01019;Armix;0
01021;Ars-sur-Formans;18.5
01022;Artemare;13.9
01023;Asnières-sur-Saône;7.7
01024;Attignat;13.6
01025;Bâgé-Dommartin;12.4
01026;Bâgé-le-Châtel;3.1
01027;Balan;7.2
01028;Baneins;11.2
01029;Beaupont;17
01030;Beauregard;10
01031;Bellignat;17.2
01032;Béligneux;17.4
01033;Valserhône;15.4
01034;Belley;16.4
01035;Belleydoux;2
01036;Valromey-sur-Séran;11.9
01037;Bénonces;14.3
01038;Bény;10.5
01039;Béon;10.8
01040;Béréziat;8.7
01041;Bettant;10.5
01042;Bey;6
01043;Beynost;12.8
01044;Billiat;15.2
01045;Birieux;12.2
01046;Biziat;5.1
01047;Blyes;8.7
01049;La Boisse;14.6
01050;Boissey;13.6
01051;Bolozon;6.1
01052;Bouligneux;9.8
01053;Bourg-en-Bresse;20.3
01054;Bourg-Saint-Christophe;9.9
01056;Boyeux-Saint-Jérôme;9.1
01057;Boz;7.9
01058;Brégnier-Cordon;11.5
01060;Brénod;10.7
01061;Brens;10.6
01062;Bressolles;10.8
01063;Brion;10.5
01064;Briord;7.6
01065;Buellas;7.6
01066;La Burbanche;21.5
01067;Ceignes;7.2
01068;Cerdon;12.4
01069;Certines;8.7
01071;Cessy;13.6
01072;Ceyzériat;13
01073;Ceyzérieu;9
01074;Chalamont;7.9
01075;Chaleins;9.5
01076;Chaley;4.3
01077;Challes-la-Montagne;6.7
01078;Challex;13.8
01079;Champagne-en-Valromey;6.8
01080;Champdor-Corcelles;8.5
01081;Champfromier;11.9
01082;Chanay;13.4
01083;Chaneins;8
01084;Chanoz-Châtenay;9.4
01085;La Chapelle-du-Châtelard;8.5
01087;Charix;11.5
01088;Charnoz-sur-Ain;12.5
01089;Château-Gaillard;11.9
01090;Châtenay;8.8
01092;Châtillon-la-Palud;12.5
01093;Châtillon-sur-Chalaronne;11.7
01094;Chavannes-sur-Reyssouze;13.7
01095;Nivigne et Suran;9.2
01096;Chaveyriat;12.8
01098;Chazey-Bons;5.8
01099;Chazey-sur-Ain;12.8
01100;Cheignieu-la-Balme;17.9
01101;Chevillard;4.4
01102;Chevroux;11.5
01103;Chevry;14.1
01104;Chézery-Forens;6.7
01105;Civrieux;10.4
01106;Cize;10.2
01107;Cleyzieu;4.8
01108;Coligny;4.9
01109;Collonges;13.9
01110;Colomieu;14.3
01111;Conand;4.7
01112;Condamine;9.9
01113;Condeissiat;7.7
01114;Confort;7.7
01115;Confrançon;11.4
01116;Contrevoz;11.5
