Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Part des "employés" dans la population 2018
01001;L'Abergement-Clémenciat;16.4
01002;L'Abergement-de-Varey;20.7
01004;Ambérieu-en-Bugey;16.5
01005;Ambérieux-en-Dombes;21.2
01006;Ambléon;16.3
01007;Ambronay;17.3
01008;Ambutrix;16.1
01009;Andert-et-Condon;14.5
01010;Anglefort;20.4
01011;Apremont;6.9
01012;Aranc;16.9
01013;Arandas;17.4
01014;Arbent;11.6
01015;Arboys en Bugey;11.9
01016;Arbigny;18.2
01017;Argis;16
01019;Armix;0
01021;Ars-sur-Formans;14.4
01022;Artemare;14.4
01023;Asnières-sur-Saône;13.8
01024;Attignat;17.4
01025;Bâgé-Dommartin;16.7
01026;Bâgé-le-Châtel;15.1
01027;Balan;38.4
01028;Baneins;16.1
01029;Beaupont;16.1
01030;Beauregard;17.1
01031;Bellignat;13.2
01032;Béligneux;21.1
01033;Valserhône;19.7
01034;Belley;18.1
01035;Belleydoux;18.2
01036;Valromey-sur-Séran;15.8
01037;Bénonces;12.4
01038;Bény;17.1
01039;Béon;12.3
01040;Béréziat;20.1
01041;Bettant;15.8
01042;Bey;14.5
01043;Beynost;12.5
01044;Billiat;19
01045;Birieux;17.1
01046;Biziat;20.5
01047;Blyes;19.5
01049;La Boisse;15.5
01050;Boissey;18.7
01051;Bolozon;24.4
01052;Bouligneux;5.9
01053;Bourg-en-Bresse;15.1
01054;Bourg-Saint-Christophe;14
01056;Boyeux-Saint-Jérôme;16.4
01057;Boz;14.3
01058;Brégnier-Cordon;11.5
01060;Brénod;16.6
01061;Brens;13.9
01062;Bressolles;16.9
01063;Brion;11.8
01064;Briord;13.5
01065;Buellas;15.6
01066;La Burbanche;21.5
01067;Ceignes;12
01068;Cerdon;10.9
01069;Certines;20.2
01071;Cessy;23.9
01072;Ceyzériat;15
01073;Ceyzérieu;12
01074;Chalamont;12.8
01075;Chaleins;21.7
01076;Chaley;4.3
01077;Challes-la-Montagne;23.5
01078;Challex;17.8
01079;Champagne-en-Valromey;9
01080;Champdor-Corcelles;21.9
01081;Champfromier;12.8
01082;Chanay;21.4
01083;Chaneins;19
01084;Chanoz-Châtenay;16.6
01085;La Chapelle-du-Châtelard;16.7
01087;Charix;13.8
01088;Charnoz-sur-Ain;15.1
01089;Château-Gaillard;22.3
01090;Châtenay;14.2
01092;Châtillon-la-Palud;17.2
01093;Châtillon-sur-Chalaronne;13.2
01094;Chavannes-sur-Reyssouze;16.8
01095;Nivigne et Suran;14.3
01096;Chaveyriat;21.3
01098;Chazey-Bons;16.2
01099;Chazey-sur-Ain;10.5
01100;Cheignieu-la-Balme;4.5
01101;Chevillard;13.2
01102;Chevroux;18.2
01103;Chevry;16.4
01104;Chézery-Forens;24.3
01105;Civrieux;16.3
01106;Cize;17
01107;Cleyzieu;9.5
01108;Coligny;21
01109;Collonges;22.7
01110;Colomieu;14.3
01111;Conand;9.3
01112;Condamine;8.7
01113;Condeissiat;19.2
01114;Confort;10.3
01115;Confrançon;20.8
01116;Contrevoz;11.5
01117;Conzieu;13.3
01118;Corbonod;13.7
01121;Corlier;27.8
01123;Cormoranche-sur-Saône;13.1
01124;Cormoz;15.8
01125;Corveissiat;11.4
01127;Courmangoux;17.7
01128;Courtes;11.2
01129;Crans;15.5
01130;Bresse Vallons;17.7
01133;Cressin-Rochefort;19.2
01134;Crottet;21.9
01135;Crozet;16
01136;Cruzilles-lès-Mépillat;16.9
01138;Culoz;15.3
01139;Curciat-Dongalon;21
01140;Curtafond;19.1
01141;Cuzieu;13.6
01142;Dagneux;16.5
01143;Divonne-les-Bains;14.5
01145;Dompierre-sur-Veyle;22
01146;Dompierre-sur-Chalaronne;22.3
01147;Domsure;22.8
01148;Dortan;11.7
01149;Douvres;9.8
01150;Drom;8.5
01151;Druillat;14.3
01152;Échallon;19.3
01153;Échenevex;13.5
01155;Évosges;10.9
01156;Faramans;13.9
01157;Fareins;13.2
01158;Farges;17.6
01159;Feillens;16.9
01160;Ferney-Voltaire;21.4
01162;Flaxieu;12.2
01163;Foissiat;15.1
01165;Francheleins;17.1
01166;Frans;18
01167;Garnerans;14.4
01169;Genouilleux;17.8
01170;Béard-Géovreissiat;18.3
01171;Géovreisset;8.4
01173;Gex;24
01174;Giron;6.3
01175;Gorrevod;13.8
01177;Grand-Corent;29.3
01179;Grièges;15.2
01180;Grilly;8.6
01181;Groissiat;16.1
01183;Guéreins;14.6
01184;Hautecourt-Romanèche;14.9
01185;Plateau d'Hauteville;16.8
01187;Haut Valromey;12.9
01188;Illiat;17.6
01189;Injoux-Génissiat;18.7
01190;Innimond;13.5
01191;Izenave;14.7
01192;Izernore;15.7
01193;Izieu;6.6
01194;Jassans-Riottier;17.4
01195;Jasseron;15.8
01196;Jayat;14.9
01197;Journans;10.8
01198;Joyeux;17.9
01199;Jujurieux;14.7
01200;Labalme;11.3
01202;Lagnieu;15.9
01203;Laiz;18.7
01204;Le Poizat-Lalleyriat;19.6
01206;Lantenay;14.5
01207;Lapeyrouse;17.6
01208;Lavours;12.3
01209;Léaz;26.5
01210;Lélex;15.8
01211;Lent;21.6
