Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Part des "ouvriers" dans la population 2018
01001;L'Abergement-Clémenciat;20.6
01002;L'Abergement-de-Varey;4.9
01004;Ambérieu-en-Bugey;17.5
01005;Ambérieux-en-Dombes;13.4
01006;Ambléon;16.3
01007;Ambronay;15.9
01008;Ambutrix;19.4
01009;Andert-et-Condon;9.1
01010;Anglefort;22.3
01011;Apremont;8.7
01012;Aranc;15
01013;Arandas;26.1
01014;Arbent;21.2
01015;Arboys en Bugey;13.8
01016;Arbigny;16.8
01017;Argis;18.8
01019;Armix;23.8
01021;Ars-sur-Formans;12.8
01022;Artemare;17.7
01023;Asnières-sur-Saône;13.8
01024;Attignat;13.9
01025;Bâgé-Dommartin;16.2
01026;Bâgé-le-Châtel;16.9
01027;Balan;17.7
01028;Baneins;13
01029;Beaupont;19.7
01030;Beauregard;13.2
01031;Bellignat;24.2
01032;Béligneux;14.3
01033;Valserhône;20.6
01034;Belley;16.7
01035;Belleydoux;7.9
01036;Valromey-sur-Séran;11.9
01037;Bénonces;12.4
01038;Bény;19.6
01039;Béon;20
01040;Béréziat;20.1
01041;Bettant;20.3
01042;Bey;8
01043;Beynost;8.4
01044;Billiat;22.9
01045;Birieux;4.9
01046;Biziat;22.7
01047;Blyes;13.8
01049;La Boisse;9.9
01050;Boissey;15.4
01051;Bolozon;18.3
01052;Bouligneux;5.9
01053;Bourg-en-Bresse;13.6
01054;Bourg-Saint-Christophe;12.2
01056;Boyeux-Saint-Jérôme;16.4
01057;Boz;14.3
01058;Brégnier-Cordon;18.2
01060;Brénod;14.4
01061;Brens;11.7
01062;Bressolles;8.1
01063;Brion;20.5
01064;Briord;24
01065;Buellas;10.8
01066;La Burbanche;29.2
01067;Ceignes;31.1
01068;Cerdon;13.2
01069;Certines;14.5
01071;Cessy;9.5
01072;Ceyzériat;10.1
01073;Ceyzérieu;15.7
01074;Chalamont;20.1
01075;Chaleins;16.8
01076;Chaley;4.3
01077;Challes-la-Montagne;6.7
01078;Challex;9.1
01079;Champagne-en-Valromey;9.8
01080;Champdor-Corcelles;11.5
01081;Champfromier;21.9
01082;Chanay;26.5
01083;Chaneins;25
01084;Chanoz-Châtenay;13.1
01085;La Chapelle-du-Châtelard;16.7
01087;Charix;13.8
01088;Charnoz-sur-Ain;13.8
01089;Château-Gaillard;15.6
01090;Châtenay;14.2
01092;Châtillon-la-Palud;10.9
01093;Châtillon-sur-Chalaronne;15.2
01094;Chavannes-sur-Reyssouze;22.1
01095;Nivigne et Suran;15
01096;Chaveyriat;18.9
01098;Chazey-Bons;23.1
01099;Chazey-sur-Ain;12.4
01100;Cheignieu-la-Balme;26.8
01101;Chevillard;13.2
01102;Chevroux;18.9
01103;Chevry;8.7
01104;Chézery-Forens;13.4
01105;Civrieux;9.4
01106;Cize;13.6
01107;Cleyzieu;33.3
01108;Coligny;13.1
01109;Collonges;12.9
01110;Colomieu;14.3
01111;Conand;14
01112;Condamine;24.2
01113;Condeissiat;16.9
01114;Confort;17.4
01115;Confrançon;14
01116;Contrevoz;14.1
01117;Conzieu;17.7
01118;Corbonod;20.1
01121;Corlier;38.9
01123;Cormoranche-sur-Saône;19.9
01124;Cormoz;28
01125;Corveissiat;26.1
01127;Courmangoux;12.7
01128;Courtes;22.4
01129;Crans;11.2
01130;Bresse Vallons;18.2
01133;Cressin-Rochefort;22.2
01134;Crottet;14.5
01135;Crozet;8.2
01136;Cruzilles-lès-Mépillat;21.1
01138;Culoz;16.5
01139;Curciat-Dongalon;11.2
01140;Curtafond;19.1
01141;Cuzieu;19.8
01142;Dagneux;15.7
01143;Divonne-les-Bains;7.2
01145;Dompierre-sur-Veyle;13.5
01146;Dompierre-sur-Chalaronne;13.9
01147;Domsure;15.9
01148;Dortan;21.5
01149;Douvres;13.3
01150;Drom;17
01151;Druillat;15.8
01152;Échallon;15.2
01153;Échenevex;5.9
01155;Évosges;10.9
01156;Faramans;11.5
01157;Fareins;7.9
01158;Farges;15.7
01159;Feillens;15.4
01160;Ferney-Voltaire;9.6
01162;Flaxieu;0
01163;Foissiat;17.7
01165;Francheleins;9
01166;Frans;12.3
01167;Garnerans;16.3
01169;Genouilleux;17.8
01170;Béard-Géovreissiat;25.6
01171;Géovreisset;19.6
01173;Gex;12.8
01174;Giron;12.6
01175;Gorrevod;22.5
01177;Grand-Corent;7.5
01179;Grièges;15.8
01180;Grilly;7.1
01181;Groissiat;15.5
01183;Guéreins;13.5
01184;Hautecourt-Romanèche;14.9
01185;Plateau d'Hauteville;12
01187;Haut Valromey;8.2
01188;Illiat;19.4
01189;Injoux-Génissiat;23.6
01190;Innimond;6.8
01191;Izenave;18.4
01192;Izernore;18.8
01193;Izieu;18.1
01194;Jassans-Riottier;12.5
01195;Jasseron;9.6
01196;Jayat;14.9
01197;Journans;16.6
01198;Joyeux;10.3
01199;Jujurieux;21.5
01200;Labalme;19.8
01202;Lagnieu;17.7
01203;Laiz;16
01204;Le Poizat-Lalleyriat;15.2
01206;Lantenay;27
01207;Lapeyrouse;7.8
01208;Lavours;16.7
01209;Léaz;16
01210;Lélex;31.6
01211;Lent;8.7
01212;Lescheroux;18.6
01213;Leyment;22.1
01214;Leyssard;14.6
01215;Surjoux-Lhopital;36
01216;Lhuis;15.8
01219;Lompnas;20.4
01224;Loyettes;21
01225;Lurcy;7.4
01227;Magnieu;16.6
01228;Maillat;30.3
01229;Malafretaz;21.2
01230;Mantenay-Montlin;20.4
01231;Manziat;17.6
01232;Marboz;13.3
01233;Marchamp;9.5
01234;Marignieu;13.7
01235;Marlieux;14.4
01236;Marsonnas;14.4
01237;Martignat;20
01238;Massieux;8.4
01239;Massignieu-de-Rives;16.1
01240;Matafelon-Granges;12.7
01241;Meillonnas;14.3
01242;Mérignat;28.6
01243;Messimy-sur-Saône;7.9
01244;Meximieux;13.4
01245;Bohas-Meyriat-Rignat;11
01246;Mézériat;20
01247;Mijoux;14.9
01248;Mionnay;7.2
01249;Miribel;10.9
01250;Misérieux;13.4
01252;Mogneneins;11.3
01254;Montagnat;8
01255;Montagnieu;23.8
01257;Montanges;18.8
01258;Montceaux;18.6
01259;Montcet;16.3
01260;Le Montellier;7.2
01261;Monthieux;7.4
01262;Montluel;17.8
01263;Montmerle-sur-Saône;11.1
01264;Montracol;17.8
01265;Montréal-la-Cluse;24
01266;Montrevel-en-Bresse;13.6
01267;Nurieux-Volognat;21.9
01268;Murs-et-Gélignieux;20.3
01269;Nantua;24
01272;Neuville-les-Dames;14.8
01273;Neuville-sur-Ain;21.5
01274;Les Neyrolles;22.5
01275;Neyron;6.4
01276;Niévroz;11.7
01277;Nivollet-Montgriffon;5.6
01279;Oncieu;0
01280;Ordonnaz;19.2
01281;Ornex;8.8
01282;Outriaz;14.9
01283;Oyonnax;25.7
01284;Ozan;23.9
01285;Parcieux;11.9
01286;Parves et Nattages;11.1
01288;Péron;14.5
01289;Péronnas;12.4
01290;Pérouges;8.5
01291;Perrex;13.9
01293;Peyriat;8.6
01294;Peyrieu;20.9
01295;Peyzieux-sur-Saône;14.4
01296;Pirajoux;18.3
01297;Pizay;9.5
01298;Plagne;16.8
01299;Le Plantay;17.8
01301;Polliat;14
01302;Pollieu;11.4
01303;Poncin;14
01304;Pont-d'Ain;21
01305;Pont-de-Vaux;17.8
01306;Pont-de-Veyle;20.7
01307;Port;22.3
01308;Pougny;15.5
01309;Pouillat;13.7
