Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Part des "professions intermédiaires" dans la population 2018
01001;L'Abergement-Clémenciat;15.9
01002;L'Abergement-de-Varey;12.8
01004;Ambérieu-en-Bugey;16.5
01005;Ambérieux-en-Dombes;15.9
01006;Ambléon;27.2
01007;Ambronay;19.9
01008;Ambutrix;23.4
01009;Andert-et-Condon;27.3
01010;Anglefort;12.3
01011;Apremont;20.4
01012;Aranc;9.4
01013;Arandas;17.4
01014;Arbent;9.6
01015;Arboys en Bugey;15.6
01016;Arbigny;15.4
01017;Argis;4.5
01019;Armix;23.8
01021;Ars-sur-Formans;13.2
01022;Artemare;11.1
01023;Asnières-sur-Saône;21.5
01024;Attignat;18
01025;Bâgé-Dommartin;19.5
01026;Bâgé-le-Châtel;17.5
01027;Balan;13.2
01028;Baneins;19.3
01029;Beaupont;10.7
01030;Beauregard;19.4
01031;Bellignat;10.6
01032;Béligneux;15.9
01033;Valserhône;12.6
01034;Belley;10.5
01035;Belleydoux;13.8
01036;Valromey-sur-Séran;15.4
01037;Bénonces;16.3
01038;Bény;15.7
01039;Béon;9.2
01040;Béréziat;17
01041;Bettant;21.8
01042;Bey;32.5
01043;Beynost;17.7
01044;Billiat;11.4
01045;Birieux;26.8
01046;Biziat;20.5
01047;Blyes;22.6
01049;La Boisse;20
01050;Boissey;13.6
01051;Bolozon;12.2
01052;Bouligneux;19.6
01053;Bourg-en-Bresse;13.3
01054;Bourg-Saint-Christophe;20.3
01056;Boyeux-Saint-Jérôme;16.4
01057;Boz;22.2
01058;Brégnier-Cordon;18.2
01060;Brénod;13.2
01061;Brens;17.5
01062;Bressolles;19.6
01063;Brion;11.6
01064;Briord;17.5
01065;Buellas;18.1
01066;La Burbanche;7.7
01067;Ceignes;16.7
01068;Cerdon;20.1
01069;Certines;20.2
01071;Cessy;19.1
01072;Ceyzériat;20.1
01073;Ceyzérieu;13.3
01074;Chalamont;16.1
01075;Chaleins;19.9
01076;Chaley;29.1
01077;Challes-la-Montagne;16.8
01078;Challex;17.8
01079;Champagne-en-Valromey;12.2
01080;Champdor-Corcelles;20.2
01081;Champfromier;11.9
