Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Part d'allocataires du RSA (communes) 2021
01001;L'Abergement-Clémenciat;N/A
01002;L'Abergement-de-Varey;N/A
01004;Ambérieu-en-Bugey;43.4
01005;Ambérieux-en-Dombes;4.5
01006;Ambléon;N/A
01007;Ambronay;20.9
01008;Ambutrix;9.6
01009;Andert-et-Condon;N/A
01010;Anglefort;13.5
01011;Apremont;N/A
01012;Aranc;N/A
01013;Arandas;N/A
01014;Arbent;20.1
01015;Arboys en Bugey;N/A
01016;Arbigny;27
01017;Argis;38.9
01019;Armix;N/A
01021;Ars-sur-Formans;7.5
01022;Artemare;21.3
01023;Asnières-sur-Saône;N/A
01024;Attignat;10.9
01025;Bâgé-Dommartin;6.3
01026;Bâgé-le-Châtel;18.1
01027;Balan;N/A
01028;Baneins;N/A
01029;Beaupont;15.9
01030;Beauregard;26
01031;Bellignat;39.6
01032;Béligneux;10.8
01033;Valserhône;31.3
01034;Belley;30.1
01035;Belleydoux;N/A
01036;Valromey-sur-Séran;20.8
01037;Bénonces;N/A
01038;Bény;N/A
01039;Béon;N/A
01040;Béréziat;N/A
01041;Bettant;14.5
01042;Bey;N/A
01043;Beynost;7.1
01044;Billiat;20
01045;Birieux;N/A
01046;Biziat;N/A
01047;Blyes;8.9
01049;La Boisse;8.8
01050;Boissey;N/A
01051;Bolozon;N/A
01052;Bouligneux;N/A
01053;Bourg-en-Bresse;56.9
01054;Bourg-Saint-Christophe;5.4
01056;Boyeux-Saint-Jérôme;N/A
01057;Boz;N/A
01058;Brégnier-Cordon;N/A
01060;Brénod;N/A
01061;Brens;N/A
01062;Bressolles;N/A
01063;Brion;N/A
01064;Briord;18.2
01065;Buellas;14.6
01066;La Burbanche;N/A
01067;Ceignes;N/A
01068;Cerdon;19.2
01069;Certines;7.9
01071;Cessy;11.2
01072;Ceyzériat;11
01073;Ceyzérieu;8.4
01074;Chalamont;14.4
01075;Chaleins;N/A
01076;Chaley;N/A
01077;Challes-la-Montagne;42.4
01078;Challex;8.3
01079;Champagne-en-Valromey;17.6
01080;Champdor-Corcelles;18.6
01081;Champfromier;10.9
01082;Chanay;N/A
01083;Chaneins;N/A
01084;Chanoz-Châtenay;13.2
01085;La Chapelle-du-Châtelard;N/A
01087;Charix;N/A
01088;Charnoz-sur-Ain;15.8
01089;Château-Gaillard;9.9
01090;Châtenay;N/A
01092;Châtillon-la-Palud;6.1
01093;Châtillon-sur-Chalaronne;20.5
01094;Chavannes-sur-Reyssouze;12.9
01095;Nivigne et Suran;30.7
01096;Chaveyriat;10.5
01098;Chazey-Bons;14.5
01099;Chazey-sur-Ain;5
01100;Cheignieu-la-Balme;N/A
01101;Chevillard;N/A
01102;Chevroux;N/A
01103;Chevry;8.3
01104;Chézery-Forens;N/A
01105;Civrieux;10
01106;Cize;N/A
01107;Cleyzieu;N/A
01108;Coligny;25.9
01109;Collonges;12.8
01110;Colomieu;N/A
01111;Conand;N/A
01112;Condamine;N/A
01113;Condeissiat;11.8
01114;Confort;N/A
01115;Confrançon;12.7
01116;Contrevoz;N/A
01117;Conzieu;N/A
01118;Corbonod;N/A
01121;Corlier;N/A
01123;Cormoranche-sur-Saône;14.4
01124;Cormoz;N/A
01125;Corveissiat;15.8
01127;Courmangoux;N/A
01128;Courtes;N/A
01129;Crans;N/A
01130;Bresse Vallons;5.4
01133;Cressin-Rochefort;N/A
01134;Crottet;8.1
01135;Crozet;4.9
01136;Cruzilles-lès-Mépillat;N/A
01138;Culoz;28
01139;Curciat-Dongalon;N/A
01140;Curtafond;17.4
01141;Cuzieu;N/A
01142;Dagneux;12.3
01143;Divonne-les-Bains;14.2
01145;Dompierre-sur-Veyle;17.2
01146;Dompierre-sur-Chalaronne;N/A
01147;Domsure;17.2
01148;Dortan;18.9
01149;Douvres;N/A
01150;Drom;N/A
01151;Druillat;N/A
01152;Échallon;N/A
01153;Échenevex;N/A
01155;Évosges;N/A
01156;Faramans;N/A
01157;Fareins;11.8
01158;Farges;N/A
01159;Feillens;8.7
01160;Ferney-Voltaire;27.6
01162;Flaxieu;N/A
