Observatoire des territoires - ANCT; ; 
Référentiel géographique : Zones d'emploi (2020); ; 
Code;Libellé;Typologie des zones d'emploi selon l'orientation économique principale
0051;Alençon;ZEDIV
0052;Arles;ZETOU
0053;Avignon;ZEAGG
0054;Beauvais;ZEDRES
0055;Bollène-Pierrelatte;ZEIND
0056;Cosne-Cours-sur-Loire;ZEAGR
0057;Dreux;ZEDRES
0058;La Vallée de la Bresle-Vimeu;ZEIND
0059;Mâcon;ZEDIV
0060;Nevers;ZEDIV
0061;Nogent-le-Rotrou;ZEIND
0062;Redon;ZEDRES
0063;Ussel;ZEAGR
0064;Valréas;ZEAGR
0101;Côte sous le vent;ZEDIV
0102;Est Grande Terre;ZEAGR
0103;Marie-Galante;ZEAGR
0104;Région Pointoise;ZEDIV
0105;Sud Basse-Terre;ZEDIV
0201;Le Centre-Atlantique;ZEDIV
0202;Le Centre agglomération;ZEAGG
0203;Le Nord-Atlantique;ZEAGR
0204;Le Nord-Caraibe;ZEAGR
0205;Le Sud;ZETOU
0206;Le Sud-Caraibe;ZETOU
0301;Est-littoral;ZEDIV
0302;Ouest-Guyanais;ZEDIV
0303;Savanes;ZEDRES
0401;L'Est;ZEDIV
0402;L'Ouest;ZEDIV
0403;Le Nord;ZEAGG
0404;Le Sud;ZEDIV
0601;Mayotte;ZEAGG
1101;Cergy-Vexin;ZEDRES
1102;Coulommiers;ZEDRES
1103;Etampes;ZEDRES
1104;Evry;ZEMET
1105;Fontainebleau-Nemours;ZEDRES
1106;Marne-la-Vallée;ZETOU
1107;Meaux;ZEDRES
1108;Melun;ZEDRES
1109;Paris;ZEMET
1110;Provins;ZEAGR
1111;Rambouillet;ZEDRES
1112;Roissy;ZEAGG
1113;Saclay;ZEMET
1114;Seine-Yvelinoise;ZEMET
1115;Versailles-Saint-Quentin;ZEMET
2401;Blois;ZEAGG
2402;Bourges;ZEDIV
2403;Chartres;ZEDRES
2404;Châteaudun;ZEDIV
2405;Châteauroux;ZEDIV
2406;Chinon;ZEIND
2407;Gien;ZEIND
2408;Loches;ZEAGR
2409;Montargis;ZEDRES
2410;Orléans;ZEAGG
2411;Pithiviers;ZEDRES
2412;Romorantin-Lanthenay;ZEDRES
2413;Tours;ZEAGG
2414;Vendôme;ZEIND
2415;Vierzon;ZEDIV
2701;Autun;ZEDIV
2702;Auxerre;ZEDIV
2703;Avallon;ZEAGR
2704;Beaune;ZEAGR
2705;Belfort;ZEAGG
2706;Besançon;ZEAGG
2707;Chalon-sur-Saône;ZEDIV
2708;Charolais;ZEDIV
2709;Châtillon-Montbard;ZEDIV
2710;Creusot-Montceau;ZEIND
2711;Dijon;ZEAGG
2712;Dole;ZEDRES
2713;Lons-le-Saunier;ZEDIV
2714;Montbéliard;ZEIND
2715;Pontarlier;ZEDRES
2716;Saint-Claude;ZEDRES
2717;Sens;ZEDRES
2718;Vesoul;ZEDIV
2801;Argentan;ZEAGR
2802;Avranches;ZEAGR
2803;Bernay;ZEDRES
2804;Caen;ZEAGG
2805;Cherbourg en Cotentin;ZEAGG
2806;Coutances;ZEAGR
2807;Dieppe-Caux maritime;ZEIND
2808;Evreux;ZEDIV
2809;Flers;ZEIND
2810;Granville;ZETOU
2811;Honfleur Pont-Audemer;ZETOU
2812;L'Aigle;ZEIND
2813;Le Havre;ZEAGG
2814;Lisieux;ZEDIV
2815;Rouen;ZEAGG
2816;Saint-Lô;ZEDIV
2817;Vernon-Gisors;ZEDRES
2818;Vire Normandie;ZEAGR
2819;Yvetot-Vallée du Commerce;ZEDRES
3201;Abbeville;ZETOU
3202;Amiens;ZEAGG
3203;Arras;ZEAGG
3204;Berck;ZETOU
3205;Béthune;ZEDRES
3206;Boulogne-sur-Mer;ZEDIV
3207;Calais;ZEDIV
3208;Cambrai;ZEDIV
3209;Château-Thierry;ZEDRES
3210;Compiègne;ZEDRES
3211;Creil;ZEDRES
3212;Douai;ZEDIV
3213;Dunkerque;ZEAGG
3214;Laon;ZEDIV
3215;Lens;ZEAGG
3216;Lille;ZEMET
3217;Maubeuge;ZEDIV
3218;Roubaix-Tourcoing;ZEAGG
3219;Saint-Omer;ZEDIV
3220;Saint-Quentin;ZEDIV
3221;Soissons;ZEDRES
3222;Valenciennes;ZEAGG
4401;Bar-le-Duc;ZEDIV
4402;Châlons-en-Champagne;ZEDIV
4403;Charleville-Mézières;ZEDIV
4404;Chaumont;ZEDIV
4405;Colmar;ZEAGG
4406;Épernay;ZEAGR
4407;Épinal;ZEDIV
4408;Forbach;ZEDRES
4409;Haguenau;ZEDRES
4410;Metz;ZEAGG
4411;Mulhouse;ZEAGG
4412;Nancy;ZEAGG
4413;Reims;ZEAGG
4414;Remiremont;ZEIND
4415;Romilly-sur-Seine;ZEIND
4416;Saint-Avold;ZEDRES
4417;Saint-Dié-des-Vosges;ZEDRES
4418;Saint-Louis;ZEDRES
4419;Sarrebourg;ZEDIV
4420;Sarreguemines;ZEDRES
4421;Sedan;ZEDRES
4422;Sélestat;ZEDRES
4423;Strasbourg;ZEMET
4424;Thionville;ZEDRES
4425;Troyes;ZEDIV
4426;Verdun;ZEDIV
4427;Vitry-le-François Saint-Dizier;ZEDIV
5201;Ancenis;ZEIND
5202;Angers;ZEAGG
5203;Challans;ZETOU
5204;Château-Gontier;ZEIND
5205;Châteaubriant;ZEAGR
5206;Cholet;ZEIND
5207;Fontenay-le-Comte;ZEAGR
5208;La Ferté-Bernard;ZEIND
5209;La Flèche;ZEIND
5210;La Roche-sur-Yon;ZEAGG
5211;Laval;ZEAGG
5212;Le Mans;ZEAGG
5213;Les Herbiers-Montaigu;ZEIND
5214;Les Sables-d'Olonne;ZETOU
5215;Mayenne;ZEIND
5216;Nantes;ZEMET
5217;Pornic;ZETOU
5218;Sablé-sur-Sarthe;ZEIND
5219;Saint-Nazaire;ZEAGG
5220;Saumur;ZEAGR
5221;Segré-en-Anjou Bleu;ZEIND
5301;Auray;ZETOU
5302;Brest;ZEAGG
5303;Carhaix-Plouguer;ZEAGR
5304;Dinan;ZETOU
5305;Fougères;ZEIND
5306;Guingamp;ZEDIV
5307;Lamballe-Armor;ZEIND
5308;Lannion;ZETOU
5309;Lorient;ZEAGG
5310;Morlaix;ZEDIV
5311;Ploërmel;ZEIND
5312;Pontivy-Loudéac;ZEIND
5313;Quimper;ZEAGG
5314;Quimperlé;ZEDRES
5315;Rennes;ZEMET
5316;Saint-Brieuc;ZEAGG
5317;Saint-Malo;ZETOU
5318;Vannes;ZETOU
5319;Vitré;ZEIND
7501;Agen;ZEDIV
