Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Densité de population 2019
01001;L'Abergement-Clémenciat;48.84
01002;L'Abergement-de-Varey;27.98
01004;Ambérieu-en-Bugey;574.55
01005;Ambérieux-en-Dombes;109.99
01006;Ambléon;19.05
01007;Ambronay;83.46
01008;Ambutrix;145.98
01009;Andert-et-Condon;46.97
01010;Anglefort;37.76
01011;Apremont;25.26
01012;Aranc;15.2
01013;Arandas;10.14
01014;Arbent;142.57
01015;Arboys en Bugey;28.9
01016;Arbigny;26.33
01017;Argis;58.29
01019;Armix;3.96
01021;Ars-sur-Formans;264.91
01022;Artemare;333.07
01023;Asnières-sur-Saône;16.24
01024;Attignat;173.94
01025;Bâgé-Dommartin;71.48
01026;Bâgé-le-Châtel;1105.68
01027;Balan;142.07
01028;Baneins;69.25
01029;Beaupont;48.69
01030;Beauregard;881.91
01031;Bellignat;466.41
01032;Béligneux;253.83
01033;Valserhône;261.92
01034;Belley;409.55
01035;Belleydoux;17.58
01036;Valromey-sur-Séran;23.38
01037;Bénonces;20.09
01038;Bény;41.32
01039;Béon;43.01
01040;Béréziat;44.88
01041;Bettant;221.96
01042;Bey;105.05
01043;Beynost;446.8
01044;Billiat;46.13
01045;Birieux;17.88
01046;Biziat;78.58
01047;Blyes;126.82
01049;La Boisse;349.26
01050;Boissey;40.33
01051;Bolozon;18.5
01052;Bouligneux;12.57
01053;Bourg-en-Bresse;1723.01
01054;Bourg-Saint-Christophe;162.25
01056;Boyeux-Saint-Jérôme;20.6
01057;Boz;71
01058;Brégnier-Cordon;75.27
01060;Brénod;20.72
01061;Brens;165.8
01062;Bressolles;120.83
01063;Brion;118.97
01064;Briord;87.06
01065;Buellas;177.47
01066;La Burbanche;8.23
01067;Ceignes;25.47
01068;Cerdon;63.01
01069;Certines;94.41
01071;Cessy;752.43
01072;Ceyzériat;341.24
01073;Ceyzérieu;50.71
01074;Chalamont;78.74
01075;Chaleins;81.29
01076;Chaley;27.17
01077;Challes-la-Montagne;25.62
01078;Challex;179.58
01079;Champagne-en-Valromey;44.66
01080;Champdor-Corcelles;20.39
01081;Champfromier;22.69
01082;Chanay;34.7
01083;Chaneins;73.4
01084;Chanoz-Châtenay;66.69
01085;La Chapelle-du-Châtelard;29.92
01087;Charix;15.44
01088;Charnoz-sur-Ain;136.4
01089;Château-Gaillard;140.29
01090;Châtenay;23.81
01092;Châtillon-la-Palud;114.49
01093;Châtillon-sur-Chalaronne;274.25
01094;Chavannes-sur-Reyssouze;45.98
01095;Nivigne et Suran;27.53
01096;Chaveyriat;61.29
01098;Chazey-Bons;75.06
01099;Chazey-sur-Ain;71.34
01100;Cheignieu-la-Balme;20.93
01101;Chevillard;22.79
01102;Chevroux;55.87
01103;Chevry;367.98
01104;Chézery-Forens;9.9
01105;Civrieux;92.56
01106;Cize;39.6
01107;Cleyzieu;17.01
01108;Coligny;69.71
01109;Collonges;136.98
01110;Colomieu;26.17
01111;Conand;8.64
01112;Condamine;96.98
01113;Condeissiat;37.75
01114;Confort;57.2
01115;Confrançon;73.36
01116;Contrevoz;35.12
01117;Conzieu;20.97
01118;Corbonod;40.46
01121;Corlier;21.28
01123;Cormoranche-sur-Saône;117.97
01124;Cormoz;35.22
01125;Corveissiat;26.97
01127;Courmangoux;34.28
01128;Courtes;33.66
01129;Crans;22
01130;Bresse Vallons;90.95
01133;Cressin-Rochefort;49.68
01134;Crottet;145.05
01135;Crozet;79.03
01136;Cruzilles-lès-Mépillat;75.42
01138;Culoz;155.17
01139;Curciat-Dongalon;18.55
01140;Curtafond;61.8
01141;Cuzieu;93.02
01142;Dagneux;718.35
01143;Divonne-les-Bains;293.71
01145;Dompierre-sur-Veyle;40.52
01146;Dompierre-sur-Chalaronne;91.21
01147;Domsure;32.37
01148;Dortan;103.75
01149;Douvres;204.56
01150;Drom;27.51
01151;Druillat;55.31
01152;Échallon;26.63
01153;Échenevex;128.65
01155;Évosges;11.84
01156;Faramans;72.64
01157;Fareins;273.72
01158;Farges;73.39
01159;Feillens;225.69
01160;Ferney-Voltaire;2097.49
01162;Flaxieu;23.3
01163;Foissiat;50.5
01165;Francheleins;117.55
01166;Frans;303.63
01167;Garnerans;73.98
01169;Genouilleux;157.11
01170;Béard-Géovreissiat;224.52
01171;Géovreisset;254.98
01173;Gex;409.78
01174;Giron;18.96
01175;Gorrevod;113.95
01177;Grand-Corent;25.67
01179;Grièges;126.5
01180;Grilly;111.87
01181;Groissiat;196.36
01183;Guéreins;327.94
01184;Hautecourt-Romanèche;35.32
01185;Plateau d'Hauteville;45.65
01187;Haut Valromey;5.73
01188;Illiat;32.55
01189;Injoux-Génissiat;37.66
