Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Indicateur de dépendance économique 2019
01001;L'Abergement-Clémenciat;106
01002;L'Abergement-de-Varey;96
01004;Ambérieu-en-Bugey;98
01005;Ambérieux-en-Dombes;90
01006;Ambléon;93
01007;Ambronay;98
01008;Ambutrix;77
01009;Andert-et-Condon;127
01010;Anglefort;95
01011;Apremont;114
01012;Aranc;131
01013;Arandas;106
01014;Arbent;109
01015;Arboys en Bugey;114
01016;Arbigny;116
01017;Argis;115
01019;Armix;160
01021;Ars-sur-Formans;96
01022;Artemare;117
01023;Asnières-sur-Saône;81
01024;Attignat;98
01025;Bâgé-Dommartin;101
01026;Bâgé-le-Châtel;112
01027;Balan;67
01028;Baneins;117
01029;Beaupont;88
01030;Beauregard;88
01031;Bellignat;98
01032;Béligneux;98
01033;Valserhône;88
01034;Belley;113
01035;Belleydoux;105
01036;Valromey-sur-Séran;124
01037;Bénonces;109
01038;Bény;107
01039;Béon;108
01040;Béréziat;99
01041;Bettant;89
01042;Bey;107
01043;Beynost;99
01044;Billiat;93
01045;Birieux;98
01046;Biziat;93
01047;Blyes;78
01049;La Boisse;99
01050;Boissey;100
01051;Bolozon;107
01052;Bouligneux;108
01053;Bourg-en-Bresse;108
01054;Bourg-Saint-Christophe;91
01056;Boyeux-Saint-Jérôme;125
01057;Boz;96
01058;Brégnier-Cordon;116
01060;Brénod;115
01061;Brens;110
01062;Bressolles;92
01063;Brion;126
01064;Briord;82
01065;Buellas;102
01066;La Burbanche;107
01067;Ceignes;69
01068;Cerdon;107
01069;Certines;89
01071;Cessy;70
01072;Ceyzériat;107
01073;Ceyzérieu;114
01074;Chalamont;107
01075;Chaleins;84
01076;Chaley;124
01077;Challes-la-Montagne;108
01078;Challex;92
01079;Champagne-en-Valromey;165
01080;Champdor-Corcelles;105
01081;Champfromier;94
01082;Chanay;115
01083;Chaneins;88
01084;Chanoz-Châtenay;105
01085;La Chapelle-du-Châtelard;100
01087;Charix;102
01088;Charnoz-sur-Ain;70
01089;Château-Gaillard;92
01090;Châtenay;130
01092;Châtillon-la-Palud;104
01093;Châtillon-sur-Chalaronne;123
01094;Chavannes-sur-Reyssouze;100
01095;Nivigne et Suran;112
01096;Chaveyriat;95
01098;Chazey-Bons;108
01099;Chazey-sur-Ain;88
01100;Cheignieu-la-Balme;143
01101;Chevillard;77
01102;Chevroux;94
01103;Chevry;68
01104;Chézery-Forens;93
01105;Civrieux;81
01106;Cize;111
01107;Cleyzieu;111
01108;Coligny;141
01109;Collonges;76
01110;Colomieu;123
01111;Conand;110
01112;Condamine;79
01113;Condeissiat;96
01114;Confort;120
01115;Confrançon;85
01116;Contrevoz;134
01117;Conzieu;125
01118;Corbonod;106
01121;Corlier;71
01123;Cormoranche-sur-Saône;105
01124;Cormoz;102
01125;Corveissiat;98
01127;Courmangoux;123
01128;Courtes;103
01129;Crans;133
01130;Bresse Vallons;97
01133;Cressin-Rochefort;99
01134;Crottet;99
01135;Crozet;78
01136;Cruzilles-lès-Mépillat;98
01138;Culoz;115
01139;Curciat-Dongalon;123
01140;Curtafond;106
01141;Cuzieu;118
01142;Dagneux;91
01143;Divonne-les-Bains;88
