Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Part des étrangers dans la population 2019
01001;L'Abergement-Clémenciat;1.1
01002;L'Abergement-de-Varey;0.8
01004;Ambérieu-en-Bugey;9
01005;Ambérieux-en-Dombes;1.9
01006;Ambléon;6.4
01007;Ambronay;2
01008;Ambutrix;2.4
01009;Andert-et-Condon;3.1
01010;Anglefort;3
01011;Apremont;1.9
01012;Aranc;1.5
01013;Arandas;0
01014;Arbent;13.5
01015;Arboys en Bugey;1.6
01016;Arbigny;2.4
01017;Argis;1.8
01019;Armix;7.7
01021;Ars-sur-Formans;3.7
01022;Artemare;3.8
01023;Asnières-sur-Saône;0
01024;Attignat;1.4
01025;Bâgé-Dommartin;1.3
01026;Bâgé-le-Châtel;2.7
01027;Balan;2.8
01028;Baneins;1.4
01029;Beaupont;1.4
01030;Beauregard;3.4
01031;Bellignat;16.1
01032;Béligneux;4.1
01033;Valserhône;15.4
01034;Belley;7.6
01035;Belleydoux;1.6
01036;Valromey-sur-Séran;2.6
01037;Bénonces;5.1
01038;Bény;0.8
01039;Béon;6
01040;Béréziat;0.8
01041;Bettant;2.3
01042;Bey;0
01043;Beynost;3.3
01044;Billiat;7.3
01045;Birieux;2.8
01046;Biziat;2
01047;Blyes;2.4
01049;La Boisse;3
01050;Boissey;2.1
01051;Bolozon;0
01052;Bouligneux;0.3
01053;Bourg-en-Bresse;11.5
01054;Bourg-Saint-Christophe;1.8
01056;Boyeux-Saint-Jérôme;1.4
01057;Boz;1.9
01058;Brégnier-Cordon;1.6
01060;Brénod;1.2
01061;Brens;1.6
01062;Bressolles;1.3
01063;Brion;6.5
01064;Briord;0.7
01065;Buellas;1.4
01066;La Burbanche;5.6
01067;Ceignes;2.7
01068;Cerdon;2.5
01069;Certines;0.9
01071;Cessy;19.1
01072;Ceyzériat;1.1
01073;Ceyzérieu;2.8
01074;Chalamont;2.1
01075;Chaleins;2.8
01076;Chaley;6.2
01077;Challes-la-Montagne;0.5
01078;Challex;29.4
01079;Champagne-en-Valromey;2.1
01080;Champdor-Corcelles;3.1
01081;Champfromier;6.4
01082;Chanay;3.5
01083;Chaneins;1.3
01084;Chanoz-Châtenay;1.4
01085;La Chapelle-du-Châtelard;1.8
01087;Charix;4.2
01088;Charnoz-sur-Ain;1
01089;Château-Gaillard;2.8
01090;Châtenay;2.8
01092;Châtillon-la-Palud;0.9
01093;Châtillon-sur-Chalaronne;3.3
01094;Chavannes-sur-Reyssouze;0.5
01095;Nivigne et Suran;1.6
01096;Chaveyriat;1.2
01098;Chazey-Bons;4.5
01099;Chazey-sur-Ain;1.3
01100;Cheignieu-la-Balme;1.5
01101;Chevillard;2
01102;Chevroux;1
01103;Chevry;23.3
01104;Chézery-Forens;3.5
01105;Civrieux;2.6
01106;Cize;2.2
01107;Cleyzieu;0
01108;Coligny;0.9
01109;Collonges;21.8
01110;Colomieu;0.6
01111;Conand;0.8
01112;Condamine;6.4
01113;Condeissiat;1.2
01114;Confort;3.2
01115;Confrançon;1.3
01116;Contrevoz;1.8
01117;Conzieu;2
01118;Corbonod;6.2
01121;Corlier;4.3
01123;Cormoranche-sur-Saône;2.5
01124;Cormoz;0.3
01125;Corveissiat;2.8
01127;Courmangoux;0.6
01128;Courtes;0
01129;Crans;0.7
01130;Bresse Vallons;1.2
01133;Cressin-Rochefort;4.1
01134;Crottet;1.6
01135;Crozet;26.5
01136;Cruzilles-lès-Mépillat;1.7
01138;Culoz;12.3
01139;Curciat-Dongalon;3.2
01140;Curtafond;0.8
01141;Cuzieu;2.5
01142;Dagneux;4.6
01143;Divonne-les-Bains;19.1
01145;Dompierre-sur-Veyle;0.9
01146;Dompierre-sur-Chalaronne;0.5
01147;Domsure;1.7
01148;Dortan;9.9
01149;Douvres;2.1
01150;Drom;1.9
01151;Druillat;1.1
01152;Échallon;3.8
01153;Échenevex;24.1
01155;Évosges;0.7
01156;Faramans;0.9
01157;Fareins;1.2
01158;Farges;23.2
01159;Feillens;3.5
01160;Ferney-Voltaire;36
01162;Flaxieu;0
01163;Foissiat;1.2
01165;Francheleins;1.2
01166;Frans;3.2
01167;Garnerans;0.6
01169;Genouilleux;1.8
01170;Béard-Géovreissiat;7.2
01171;Géovreisset;10.8
01173;Gex;19.8
01174;Giron;2.3
01175;Gorrevod;0.8
01177;Grand-Corent;0
01179;Grièges;1.9
01180;Grilly;21.1
01181;Groissiat;6.8
01183;Guéreins;2.8
01184;Hautecourt-Romanèche;0.4
01185;Plateau d'Hauteville;5
01187;Haut Valromey;2.8
01188;Illiat;1
01189;Injoux-Génissiat;6
01190;Innimond;0
01191;Izenave;1.3
01192;Izernore;5.1
01193;Izieu;4.5
01194;Jassans-Riottier;6.1
01195;Jasseron;0.7
01196;Jayat;1.2
01197;Journans;0.3
01198;Joyeux;2.2
01199;Jujurieux;3.5
01200;Labalme;7.5
01202;Lagnieu;3.5
01203;Laiz;1.3
01204;Le Poizat-Lalleyriat;5.5
01206;Lantenay;2.9
01207;Lapeyrouse;0.6
01208;Lavours;1.5
01209;Léaz;14.8
01210;Lélex;1.7
01211;Lent;1.3
01212;Lescheroux;2.9
01213;Leyment;1.4
01214;Leyssard;5
01215;Surjoux-Lhopital;11.7
01216;Lhuis;1.5
01219;Lompnas;1.8
01224;Loyettes;4.7
01225;Lurcy;0.3
01227;Magnieu;2
01228;Maillat;9.8
01229;Malafretaz;0.6
01230;Mantenay-Montlin;0.9
01231;Manziat;0.9
01232;Marboz;0.9
01233;Marchamp;2.3
01234;Marignieu;3
01235;Marlieux;2.2
01236;Marsonnas;1.1
01237;Martignat;8.5
01238;Massieux;2.9
01239;Massignieu-de-Rives;1.8
01240;Matafelon-Granges;2.6
01241;Meillonnas;2.1
01242;Mérignat;1.5
01243;Messimy-sur-Saône;1.7
01244;Meximieux;4.2
01245;Bohas-Meyriat-Rignat;1.4
01246;Mézériat;3
01247;Mijoux;7.4
01248;Mionnay;2.3
01249;Miribel;8.3
01250;Misérieux;1.2
01252;Mogneneins;0.8
01254;Montagnat;1.6
01255;Montagnieu;2.6
01257;Montanges;3.7
01258;Montceaux;1.8
01259;Montcet;1.3
01260;Le Montellier;2.6
01261;Monthieux;2.7
01262;Montluel;8.8
01263;Montmerle-sur-Saône;1.8
01264;Montracol;0.7
01265;Montréal-la-Cluse;18.2
01266;Montrevel-en-Bresse;2
01267;Nurieux-Volognat;4.8
01268;Murs-et-Gélignieux;1.6
01269;Nantua;19
01272;Neuville-les-Dames;1.3
01273;Neuville-sur-Ain;2.3
01274;Les Neyrolles;15
01275;Neyron;2.7
01276;Niévroz;2.3
01277;Nivollet-Montgriffon;1.7
01279;Oncieu;0
01280;Ordonnaz;2.8
01281;Ornex;31
01282;Outriaz;14
01283;Oyonnax;26.3
01284;Ozan;3.4
01285;Parcieux;2.6
01286;Parves et Nattages;1.7
01288;Péron;25
01289;Péronnas;3.2
01290;Pérouges;1.3
01291;Perrex;1.8
01293;Peyriat;0
01294;Peyrieu;3.6
01295;Peyzieux-sur-Saône;0.9
01296;Pirajoux;0.5
01297;Pizay;1.2
01298;Plagne;2
01299;Le Plantay;7.7
01301;Polliat;0.7
01302;Pollieu;0
01303;Poncin;2.5
01304;Pont-d'Ain;7.2
01305;Pont-de-Vaux;1.6
01306;Pont-de-Veyle;2
01307;Port;12.4
01308;Pougny;34.6
01309;Pouillat;0
01310;Prémeyzel;3.6
01311;Prémillieu;4.5
01313;Prévessin-Moëns;30.9
01314;Priay;1.8
01317;Ramasse;0
01318;Rancé;3.3
01319;Relevant;1.5
01320;Replonges;1.7
01321;Revonnas;0.7
01322;Reyrieux;3.9
01323;Reyssouze;0.4
01325;Rignieux-le-Franc;1.6
01328;Romans;2.1
01329;Rossillon;2
01330;Ruffieu;1.1
01331;Saint-Alban;2.6
01332;Saint-André-de-Bâgé;2
01333;Saint-André-de-Corcy;1.9
01334;Saint-André-d'Huiriat;1.8
01335;Saint-André-le-Bouchoux;0.2
01336;Saint-André-sur-Vieux-Jonc;2
01337;Saint-Bénigne;1.8
01338;Groslée-Saint-Benoit;2.5
01339;Saint-Bernard;3
01342;Sainte-Croix;1.5
01343;Saint-Cyr-sur-Menthon;1.6
01344;Saint-Denis-lès-Bourg;2.9
01345;Saint-Denis-en-Bugey;3.6
01346;Saint-Didier-d'Aussiat;1.1
01347;Saint-Didier-de-Formans;2.4
01348;Saint-Didier-sur-Chalaronne;1.7
01349;Saint-Éloi;0.7
01350;Saint-Étienne-du-Bois;1.7
01351;Saint-Étienne-sur-Chalaronne;1.2
01352;Saint-Étienne-sur-Reyssouze;2.5
01353;Sainte-Euphémie;2.3
01354;Saint-Genis-Pouilly;35.2
01355;Saint-Genis-sur-Menthon;2.7
01356;Saint-Georges-sur-Renon;0
01357;Saint-Germain-de-Joux;12.9
01358;Saint-Germain-les-Paroisses;0.7
01359;Saint-Germain-sur-Renon;2.1
01360;Saint-Jean-de-Gonville;24
01361;Saint-Jean-de-Niost;1.5
01362;Saint-Jean-de-Thurigneux;1.3
01363;Saint-Jean-le-Vieux;2.8
01364;Saint-Jean-sur-Reyssouze;2.1
01365;Saint-Jean-sur-Veyle;1
01366;Sainte-Julie;0.8
01367;Saint-Julien-sur-Reyssouze;1.6
01368;Saint-Julien-sur-Veyle;1.6
01369;Saint-Just;1.9
01370;Saint-Laurent-sur-Saône;5.5
01371;Saint-Marcel;2.3
01372;Saint-Martin-de-Bavel;3.2
01373;Saint-Martin-du-Frêne;6.8
01374;Saint-Martin-du-Mont;0.6
01375;Saint-Martin-le-Châtel;1.3
01376;Saint-Maurice-de-Beynost;7.6
01378;Saint-Maurice-de-Gourdans;0.9
01379;Saint-Maurice-de-Rémens;1.3
01380;Saint-Nizier-le-Bouchoux;0.8
01381;Saint-Nizier-le-Désert;1.9
01382;Sainte-Olive;1.1
01383;Saint-Paul-de-Varax;1.2
01384;Saint-Rambert-en-Bugey;5.1
01385;Saint-Rémy;1.4
01386;Saint-Sorlin-en-Bugey;2.6
01387;Saint-Sulpice;0.8
01388;Saint-Trivier-de-Courtes;2.6
01389;Saint-Trivier-sur-Moignans;1.6
01390;Saint-Vulbas;1.5
01391;Salavre;0.7
01392;Samognat;3.1
01393;Sandrans;1.2
01396;Sault-Brénaz;10.6
01397;Sauverny;26.7
01398;Savigneux;1
01399;Ségny;29
01400;Seillonnaz;0.7
01401;Sergy;29.4
01402;Sermoyer;0.5
01403;Serrières-de-Briord;2.2
01404;Serrières-sur-Ain;3.7
01405;Servas;4.1
01406;Servignat;2.3
01407;Seyssel;8.3
01408;Simandre-sur-Suran;0.5
01410;Sonthonnax-la-Montagne;2.7
01411;Souclin;0.7
01412;Sulignat;1.7
01415;Talissieu;2.2
01416;Tenay;7.9
01418;Thil;2.2
01419;Thoiry;32.1
01420;Thoissey;3
01421;Torcieu;1.9
01422;Tossiat;1.2
01423;Toussieux;3.6
01424;Tramoyes;1.4
01425;La Tranclière;2.5
01426;Val-Revermont;2.4
01427;Trévoux;11.4
01428;Valeins;0.8
01429;Vandeins;0.7
01430;Varambon;0.9
01431;Vaux-en-Bugey;0.9
01432;Verjon;1
01433;Vernoux;2
01434;Versailleux;1.1
