Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Part des 45-59 ans 2019
01001;L'Abergement-Clémenciat;24.9
01002;L'Abergement-de-Varey;15.1
01004;Ambérieu-en-Bugey;16.9
01005;Ambérieux-en-Dombes;21.7
01006;Ambléon;26.4
01007;Ambronay;19.1
01008;Ambutrix;24.3
01009;Andert-et-Condon;21.9
01010;Anglefort;20.2
01011;Apremont;20.7
01012;Aranc;19.9
01013;Arandas;27.1
01014;Arbent;20.7
01015;Arboys en Bugey;21.6
01016;Arbigny;19.9
01017;Argis;18
01019;Armix;19.2
01021;Ars-sur-Formans;20.8
01022;Artemare;20.7
01023;Asnières-sur-Saône;30.3
01024;Attignat;20.7
01025;Bâgé-Dommartin;21.9
01026;Bâgé-le-Châtel;16.6
01027;Balan;14.9
01028;Baneins;19.5
01029;Beaupont;24.1
01030;Beauregard;21.5
01031;Bellignat;18.2
01032;Béligneux;17
01033;Valserhône;20.1
01034;Belley;19.6
01035;Belleydoux;23.7
01036;Valromey-sur-Séran;22.1
01037;Bénonces;18.6
01038;Bény;21
01039;Béon;21.1
01040;Béréziat;21.7
01041;Bettant;23.8
01042;Bey;20.6
01043;Beynost;22.9
01044;Billiat;17
01045;Birieux;20.3
01046;Biziat;22.6
01047;Blyes;22.9
01049;La Boisse;21
01050;Boissey;16.6
01051;Bolozon;27
01052;Bouligneux;25.3
01053;Bourg-en-Bresse;18.2
01054;Bourg-Saint-Christophe;20.8
01056;Boyeux-Saint-Jérôme;12.4
01057;Boz;23.7
01058;Brégnier-Cordon;20.1
01060;Brénod;20.6
01061;Brens;24.6
01062;Bressolles;21.3
01063;Brion;18.7
01064;Briord;23.9
01065;Buellas;22.8
01066;La Burbanche;22.5
01067;Ceignes;29.4
01068;Cerdon;20.9
01069;Certines;25.3
01071;Cessy;22.3
01072;Ceyzériat;21.1
01073;Ceyzérieu;22.6
01074;Chalamont;17.1
01075;Chaleins;22.4
01076;Chaley;23.8
01077;Challes-la-Montagne;14.5
01078;Challex;22.2
01079;Champagne-en-Valromey;19.1
01080;Champdor-Corcelles;22.9
01081;Champfromier;23.7
01082;Chanay;19.3
01083;Chaneins;24
01084;Chanoz-Châtenay;18.9
01085;La Chapelle-du-Châtelard;18.7
01087;Charix;21.8
01088;Charnoz-sur-Ain;32.5
01089;Château-Gaillard;21.3
01090;Châtenay;18.5
01092;Châtillon-la-Palud;21.8
01093;Châtillon-sur-Chalaronne;19.4
01094;Chavannes-sur-Reyssouze;24.3
01095;Nivigne et Suran;19
01096;Chaveyriat;23.5
01098;Chazey-Bons;21
01099;Chazey-sur-Ain;22.7
01100;Cheignieu-la-Balme;26
01101;Chevillard;26.3
01102;Chevroux;20
01103;Chevry;20.1
01104;Chézery-Forens;19.9
01105;Civrieux;22.6
01106;Cize;21.8
01107;Cleyzieu;22.2
01108;Coligny;17.8
01109;Collonges;19.9
01110;Colomieu;17.9
01111;Conand;21.2
01112;Condamine;20.3
01113;Condeissiat;20.7
01114;Confort;15.9
01115;Confrançon;19.7
01116;Contrevoz;18.1
01117;Conzieu;15.9
01118;Corbonod;22.5
01121;Corlier;31
01123;Cormoranche-sur-Saône;21.2
01124;Cormoz;20.8
01125;Corveissiat;22.2
01127;Courmangoux;20.5
01128;Courtes;20.6
01129;Crans;14.9
01130;Bresse Vallons;19.8
01133;Cressin-Rochefort;23.5
01134;Crottet;23.6
01135;Crozet;22.4
01136;Cruzilles-lès-Mépillat;21.3
01138;Culoz;19.6
01139;Curciat-Dongalon;17.5
01140;Curtafond;22
01141;Cuzieu;21.7
01142;Dagneux;20.3
01143;Divonne-les-Bains;20.5
01145;Dompierre-sur-Veyle;21.6
01146;Dompierre-sur-Chalaronne;24.1
01147;Domsure;21.7
01148;Dortan;24.1
01149;Douvres;25.2
01150;Drom;24.8
01151;Druillat;21.7
01152;Échallon;23.8
01153;Échenevex;21.7
01155;Évosges;25.4
01156;Faramans;22.1
01157;Fareins;20.7
01158;Farges;23.8
01159;Feillens;20.8
01160;Ferney-Voltaire;19.4
01162;Flaxieu;30.8
01163;Foissiat;22.1
01165;Francheleins;20.4
01166;Frans;24.2
01167;Garnerans;25
01169;Genouilleux;26.2
01170;Béard-Géovreissiat;27.5
01171;Géovreisset;28.8
01173;Gex;18.3
01174;Giron;26.1
01175;Gorrevod;22.7
01177;Grand-Corent;23
01179;Grièges;23.6
01180;Grilly;23.5
01181;Groissiat;24.8
01183;Guéreins;19.4
01184;Hautecourt-Romanèche;25.4
01185;Plateau d'Hauteville;20.6
01187;Haut Valromey;24.3
01188;Illiat;22.9
01189;Injoux-Génissiat;21.3
01190;Innimond;22.5
01191;Izenave;21.8
01192;Izernore;22.8
01193;Izieu;23
01194;Jassans-Riottier;21.5
01195;Jasseron;20.8
01196;Jayat;17.9
01197;Journans;21.1
01198;Joyeux;22.5
01199;Jujurieux;21.1
01200;Labalme;23.9
01202;Lagnieu;20.1
01203;Laiz;23.9
01204;Le Poizat-Lalleyriat;22.9
01206;Lantenay;26.1
01207;Lapeyrouse;26.8
01208;Lavours;22.2
01209;Léaz;19.4
01210;Lélex;24.9
01211;Lent;22.3
01212;Lescheroux;19.8
01213;Leyment;24.9
01214;Leyssard;24.8
01215;Surjoux-Lhopital;27.7
01216;Lhuis;17.2
01219;Lompnas;18.3
01224;Loyettes;17.7
01225;Lurcy;26.3
01227;Magnieu;23.5
01228;Maillat;24.1
01229;Malafretaz;19.2
01230;Mantenay-Montlin;22.4
01231;Manziat;21.3
01232;Marboz;21.4
01233;Marchamp;19.8
01234;Marignieu;24.3
01235;Marlieux;18
01236;Marsonnas;22.4
01237;Martignat;23.7
01238;Massieux;24.4
01239;Massignieu-de-Rives;20.6
01240;Matafelon-Granges;26.8
01241;Meillonnas;22.3
01242;Mérignat;18.5
01243;Messimy-sur-Saône;25
01244;Meximieux;18.8
01245;Bohas-Meyriat-Rignat;19.9
01246;Mézériat;17.9
01247;Mijoux;24.4
01248;Mionnay;27.2
01249;Miribel;19.9
01250;Misérieux;22.6
01252;Mogneneins;20.2
01254;Montagnat;23.3
01255;Montagnieu;17.2
01257;Montanges;21.4
01258;Montceaux;27.1
01259;Montcet;24.2
01260;Le Montellier;20.4
01261;Monthieux;26.1
01262;Montluel;19.7
01263;Montmerle-sur-Saône;22.2
01264;Montracol;24.2
01265;Montréal-la-Cluse;21.2
01266;Montrevel-en-Bresse;19.1
01267;Nurieux-Volognat;21.1
01268;Murs-et-Gélignieux;22
01269;Nantua;18
01272;Neuville-les-Dames;18.3
01273;Neuville-sur-Ain;21.3
01274;Les Neyrolles;20.6
01275;Neyron;22.8
01276;Niévroz;25
01277;Nivollet-Montgriffon;23.5
01279;Oncieu;20.2
01280;Ordonnaz;21.3
01281;Ornex;22.4
01282;Outriaz;19
01283;Oyonnax;19.5
01284;Ozan;21.6
01285;Parcieux;22.7
01286;Parves et Nattages;22.9
01288;Péron;22.1
01289;Péronnas;21.3
01290;Pérouges;23.7
01291;Perrex;23.3
01293;Peyriat;28
01294;Peyrieu;22.1
01295;Peyzieux-sur-Saône;19.4
01296;Pirajoux;17.7
01297;Pizay;24.7
01298;Plagne;18.7
01299;Le Plantay;24.4
01301;Polliat;22.3
01302;Pollieu;24.2
01303;Poncin;20.2
01304;Pont-d'Ain;20
01305;Pont-de-Vaux;17.8
01306;Pont-de-Veyle;15.6
01307;Port;21.5
01308;Pougny;24.2
01309;Pouillat;22.7
01310;Prémeyzel;33.3
01311;Prémillieu;22.7
01313;Prévessin-Moëns;20.8
01314;Priay;21.4
01317;Ramasse;20.9
01318;Rancé;24.5
01319;Relevant;23.1
01320;Replonges;21.3
01321;Revonnas;25.6
01322;Reyrieux;22.5
01323;Reyssouze;19.4
01325;Rignieux-le-Franc;24.8
01328;Romans;19
01329;Rossillon;28.8
01330;Ruffieu;25.6
01331;Saint-Alban;26.6
01332;Saint-André-de-Bâgé;22.6
01333;Saint-André-de-Corcy;20.6
01334;Saint-André-d'Huiriat;21
01335;Saint-André-le-Bouchoux;19.2
01336;Saint-André-sur-Vieux-Jonc;20.7
01337;Saint-Bénigne;21.9
01338;Groslée-Saint-Benoit;20.7
01339;Saint-Bernard;24.2
01342;Sainte-Croix;25.8
01343;Saint-Cyr-sur-Menthon;19.9
01344;Saint-Denis-lès-Bourg;21.6
01345;Saint-Denis-en-Bugey;21.2
01346;Saint-Didier-d'Aussiat;22.9
01347;Saint-Didier-de-Formans;23.6
01348;Saint-Didier-sur-Chalaronne;21.3
01349;Saint-Éloi;22.1
01350;Saint-Étienne-du-Bois;21.2
01351;Saint-Étienne-sur-Chalaronne;21
01352;Saint-Étienne-sur-Reyssouze;19.8
01353;Sainte-Euphémie;24.1
01354;Saint-Genis-Pouilly;17.3
01355;Saint-Genis-sur-Menthon;22.2
01356;Saint-Georges-sur-Renon;19.1
01357;Saint-Germain-de-Joux;20.9
01358;Saint-Germain-les-Paroisses;20
01359;Saint-Germain-sur-Renon;25.5
01360;Saint-Jean-de-Gonville;20.7
01361;Saint-Jean-de-Niost;23.6
01362;Saint-Jean-de-Thurigneux;23.7
01363;Saint-Jean-le-Vieux;24.2
01364;Saint-Jean-sur-Reyssouze;19.7
01365;Saint-Jean-sur-Veyle;19.8
01366;Sainte-Julie;22.5
01367;Saint-Julien-sur-Reyssouze;15.8
01368;Saint-Julien-sur-Veyle;20.4
01369;Saint-Just;26.4
01370;Saint-Laurent-sur-Saône;16.8
01371;Saint-Marcel;24.2
