Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Part des allocataires dont les ressources sont constituées à plus de 50 % des prestations CAF 2019
01001;L'Abergement-Clémenciat;N/A
01002;L'Abergement-de-Varey;N/A
01004;Ambérieu-en-Bugey;20.2
01005;Ambérieux-en-Dombes;5.9
01006;Ambléon;N/A
01007;Ambronay;10.4
01008;Ambutrix;N/A
01009;Andert-et-Condon;18.2
01010;Anglefort;7.6
01011;Apremont;N/A
01012;Aranc;13.6
01013;Arandas;N/A
01014;Arbent;12.4
01015;Arboys en Bugey;11.1
01016;Arbigny;13.2
01017;Argis;27.3
01019;Armix;N/A
01021;Ars-sur-Formans;2.6
01022;Artemare;25.2
01023;Asnières-sur-Saône;N/A
01024;Attignat;7.2
01025;Bâgé-Dommartin;7.4
01026;Bâgé-le-Châtel;9.4
01027;Balan;6.7
01028;Baneins;5.6
01029;Beaupont;46.5
01030;Beauregard;16
01031;Bellignat;17.1
01032;Béligneux;8.1
01033;Valserhône;19.9
01034;Belley;21.7
01035;Belleydoux;N/A
01036;Valromey-sur-Séran;7.1
01037;Bénonces;N/A
01038;Bény;N/A
01039;Béon;13.2
01040;Béréziat;N/A
01041;Bettant;12
01042;Bey;N/A
01043;Beynost;8.7
01044;Billiat;16.5
01045;Birieux;N/A
01046;Biziat;N/A
01047;Blyes;4.5
01049;La Boisse;8.9
01050;Boissey;N/A
01051;Bolozon;N/A
01052;Bouligneux;N/A
01053;Bourg-en-Bresse;25.4
01054;Bourg-Saint-Christophe;5.2
01056;Boyeux-Saint-Jérôme;N/A
01057;Boz;N/A
01058;Brégnier-Cordon;12.1
01060;Brénod;6.8
01061;Brens;6.2
01062;Bressolles;N/A
01063;Brion;13
01064;Briord;8.3
01065;Buellas;5.6
01066;La Burbanche;38.5
01067;Ceignes;N/A
01068;Cerdon;10.6
01069;Certines;4.7
01071;Cessy;10.3
01072;Ceyzériat;16.7
01073;Ceyzérieu;6.6
01074;Chalamont;11.4
01075;Chaleins;5
01076;Chaley;N/A
01077;Challes-la-Montagne;20
01078;Challex;7
01079;Champagne-en-Valromey;20.9
01080;Champdor-Corcelles;9.3
01081;Champfromier;10
01082;Chanay;N/A
01083;Chaneins;4.8
01084;Chanoz-Châtenay;8.7
01085;La Chapelle-du-Châtelard;N/A
01087;Charix;15.4
01088;Charnoz-sur-Ain;N/A
01089;Château-Gaillard;6.4
01090;Châtenay;N/A
01092;Châtillon-la-Palud;6.9
01093;Châtillon-sur-Chalaronne;16.5
01094;Chavannes-sur-Reyssouze;6.4
01095;Nivigne et Suran;11
01096;Chaveyriat;6.3
01098;Chazey-Bons;12.4
01099;Chazey-sur-Ain;7
01100;Cheignieu-la-Balme;N/A
01101;Chevillard;N/A
01102;Chevroux;6.1
01103;Chevry;12.7
01104;Chézery-Forens;13
01105;Civrieux;5.1
01106;Cize;N/A
01107;Cleyzieu;N/A
01108;Coligny;14
01109;Collonges;9.3
01110;Colomieu;N/A
01111;Conand;N/A
01112;Condamine;N/A
01113;Condeissiat;12.1
01114;Confort;7.9
01115;Confrançon;10.7
01116;Contrevoz;11.1
01117;Conzieu;20.8
01118;Corbonod;30.7
01121;Corlier;N/A
01123;Cormoranche-sur-Saône;7
01124;Cormoz;10.4
01125;Corveissiat;11
01127;Courmangoux;N/A
01128;Courtes;N/A
01129;Crans;N/A
01130;Bresse Vallons;5.6
01133;Cressin-Rochefort;15.2
01134;Crottet;7.3
01135;Crozet;8.7
01136;Cruzilles-lès-Mépillat;6.7
01138;Culoz;16.6
01139;Curciat-Dongalon;21.2
01140;Curtafond;6.1
01141;Cuzieu;N/A
01142;Dagneux;7.8
01143;Divonne-les-Bains;16.9
01145;Dompierre-sur-Veyle;11.4
01146;Dompierre-sur-Chalaronne;8.9
01147;Domsure;14.9
01148;Dortan;14.6
01149;Douvres;4.1
01150;Drom;N/A
01151;Druillat;5.6
01152;Échallon;6.2
01153;Échenevex;N/A
01155;Évosges;N/A
01156;Faramans;6.5
01157;Fareins;9.7
01158;Farges;18.3
01159;Feillens;7.1
01160;Ferney-Voltaire;24.8
