Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Part des diplomés du supérieur parmi les 15 ans et plus non scolarisés 2018
01001;L'Abergement-Clémenciat;25.3
01002;L'Abergement-de-Varey;35.2
01004;Ambérieu-en-Bugey;26.7
01005;Ambérieux-en-Dombes;28.5
01006;Ambléon;13.4
01007;Ambronay;30.5
01008;Ambutrix;30.1
01009;Andert-et-Condon;30.2
01010;Anglefort;18.9
01011;Apremont;31.5
01012;Aranc;26.2
01013;Arandas;15.7
01014;Arbent;18.3
01015;Arboys en Bugey;28.5
01016;Arbigny;22.4
01017;Argis;16.7
01019;Armix;4.2
01021;Ars-sur-Formans;33.8
01022;Artemare;15.7
01023;Asnières-sur-Saône;23.1
01024;Attignat;26.5
01025;Bâgé-Dommartin;27.3
01026;Bâgé-le-Châtel;20.1
01027;Balan;23.2
01028;Baneins;23.1
01029;Beaupont;13.8
01030;Beauregard;23.8
01031;Bellignat;19.3
01032;Béligneux;27.2
01033;Valserhône;22.1
01034;Belley;22.2
01035;Belleydoux;35.9
01036;Valromey-sur-Séran;30.2
01037;Bénonces;22.7
01038;Bény;23.5
01039;Béon;18.7
01040;Béréziat;21.5
01041;Bettant;25.2
01042;Bey;27.2
01043;Beynost;42.7
01044;Billiat;25.2
01045;Birieux;36
01046;Biziat;21.6
01047;Blyes;39.8
01049;La Boisse;34
01050;Boissey;18.6
01051;Bolozon;16.5
01052;Bouligneux;34.4
01053;Bourg-en-Bresse;26.6
01054;Bourg-Saint-Christophe;37
01056;Boyeux-Saint-Jérôme;26.8
01057;Boz;25.5
01058;Brégnier-Cordon;25
01060;Brénod;29
01061;Brens;26.8
01062;Bressolles;39.3
01063;Brion;21.4
01064;Briord;18.9
01065;Buellas;34.9
01066;La Burbanche;21.3
01067;Ceignes;31.1
01068;Cerdon;22.6
01069;Certines;28.4
01071;Cessy;44.3
01072;Ceyzériat;35.7
01073;Ceyzérieu;29.5
01074;Chalamont;20.4
01075;Chaleins;27.8
01076;Chaley;14.7
01077;Challes-la-Montagne;23.4
01078;Challex;40.6
01079;Champagne-en-Valromey;26.4
01080;Champdor-Corcelles;24.7
01081;Champfromier;28.1
01082;Chanay;30
01083;Chaneins;25.2
01084;Chanoz-Châtenay;29.4
01085;La Chapelle-du-Châtelard;28.4
01087;Charix;34.1
01088;Charnoz-sur-Ain;37.1
01089;Château-Gaillard;27.8
01090;Châtenay;28.5
01092;Châtillon-la-Palud;30.5
01093;Châtillon-sur-Chalaronne;21.4
01094;Chavannes-sur-Reyssouze;19.7
01095;Nivigne et Suran;25.9
01096;Chaveyriat;23.8
01098;Chazey-Bons;20
01099;Chazey-sur-Ain;30.5
01100;Cheignieu-la-Balme;17.9
01101;Chevillard;44.5
01102;Chevroux;20.3
01103;Chevry;47.9
01104;Chézery-Forens;27.8
01105;Civrieux;40.6
01106;Cize;22
01107;Cleyzieu;29.5
01108;Coligny;21
01109;Collonges;33.5
01110;Colomieu;23.9
01111;Conand;24.2
01112;Condamine;33.2
01113;Condeissiat;26.8
01114;Confort;28
01115;Confrançon;23.8
01116;Contrevoz;21.5
01117;Conzieu;35.6
01118;Corbonod;19.6
01121;Corlier;21.6
01123;Cormoranche-sur-Saône;23.9
01124;Cormoz;21.1
01125;Corveissiat;24.4
01127;Courmangoux;29.2
01128;Courtes;19.5
01129;Crans;30.2
01130;Bresse Vallons;23.9
01133;Cressin-Rochefort;24.7
01134;Crottet;23.5
01135;Crozet;49.1
01136;Cruzilles-lès-Mépillat;27.1
01138;Culoz;18.1
01139;Curciat-Dongalon;17.4
01140;Curtafond;25.3
01141;Cuzieu;21.7
01142;Dagneux;29.1
01143;Divonne-les-Bains;49.6
01145;Dompierre-sur-Veyle;22.5
01146;Dompierre-sur-Chalaronne;25.3
01147;Domsure;15.7
01148;Dortan;21.7
01149;Douvres;37.9
01150;Drom;45.1
01151;Druillat;25.6
01152;Échallon;29.6
01153;Échenevex;56.6
01155;Évosges;32.2
01156;Faramans;25.5
01157;Fareins;30.4
01158;Farges;40.1
01159;Feillens;24
01160;Ferney-Voltaire;52.3
01162;Flaxieu;34
01163;Foissiat;21.5
01165;Francheleins;30.3
01166;Frans;28.4
01167;Garnerans;23.5
01169;Genouilleux;28.9
01170;Béard-Géovreissiat;22.8
01171;Géovreisset;24
01173;Gex;42.1
01174;Giron;37.3
01175;Gorrevod;20.5
01177;Grand-Corent;35.8
01179;Grièges;24
01180;Grilly;61.1
01181;Groissiat;24.3
01183;Guéreins;22.8
01184;Hautecourt-Romanèche;27.8
01185;Plateau d'Hauteville;23.4
01187;Haut Valromey;30.2
01188;Illiat;26.7
01189;Injoux-Génissiat;27.4
01190;Innimond;20
01191;Izenave;19.8
01192;Izernore;22.5
01193;Izieu;27.7
01194;Jassans-Riottier;26.7
01195;Jasseron;33.2
01196;Jayat;23
01197;Journans;38.5
01198;Joyeux;41.1
01199;Jujurieux;28.1
01200;Labalme;24.6
01202;Lagnieu;21.6
01203;Laiz;22.1
01204;Le Poizat-Lalleyriat;32.4
01206;Lantenay;28.2
01207;Lapeyrouse;32.6
01208;Lavours;22.1
01209;Léaz;28.3
01210;Lélex;26.4
01211;Lent;29.4
01212;Lescheroux;14.7
01213;Leyment;25.5
01214;Leyssard;36.6
01215;Surjoux-Lhopital;19.8
01216;Lhuis;24.5
01219;Lompnas;25.4
01224;Loyettes;22.9
01225;Lurcy;33.8
01227;Magnieu;28.8
01228;Maillat;27.4
01229;Malafretaz;23.4
01230;Mantenay-Montlin;16.7
01231;Manziat;22.7
01232;Marboz;21.9
01233;Marchamp;30.3
01234;Marignieu;23.6
01235;Marlieux;25.8
01236;Marsonnas;27.5
01237;Martignat;22.9
01238;Massieux;40.6
01239;Massignieu-de-Rives;22.4
01240;Matafelon-Granges;23.2
01241;Meillonnas;32.2
01242;Mérignat;40.6
01243;Messimy-sur-Saône;36.3
01244;Meximieux;32.3
01245;Bohas-Meyriat-Rignat;35.2
01246;Mézériat;21.3
01247;Mijoux;38.9
01248;Mionnay;41.8
01249;Miribel;37.4
01250;Misérieux;33.7
01252;Mogneneins;31.3
01254;Montagnat;39.7
01255;Montagnieu;23.2
01257;Montanges;26.2
01258;Montceaux;26.4
01259;Montcet;32.5
01260;Le Montellier;36.4
01261;Monthieux;37.9
01262;Montluel;28.5
01263;Montmerle-sur-Saône;31.9
01264;Montracol;28.9
01265;Montréal-la-Cluse;15.9
01266;Montrevel-en-Bresse;17.9
01267;Nurieux-Volognat;23.1
01268;Murs-et-Gélignieux;27.3
01269;Nantua;21.5
01272;Neuville-les-Dames;22.3
01273;Neuville-sur-Ain;22.9
01274;Les Neyrolles;14.5
01275;Neyron;42.9
01276;Niévroz;30.8
01277;Nivollet-Montgriffon;31.2
01279;Oncieu;30.4
01280;Ordonnaz;24
01281;Ornex;50.8
01282;Outriaz;31.8
01283;Oyonnax;16.1
01284;Ozan;17.5
01285;Parcieux;41
01286;Parves et Nattages;38.8
01288;Péron;37.2
01289;Péronnas;27.4
01290;Pérouges;22.8
01291;Perrex;24.2
01293;Peyriat;30.8
01294;Peyrieu;23.8
01295;Peyzieux-sur-Saône;31.7
01296;Pirajoux;17.2
01297;Pizay;33.8
01298;Plagne;35.6
01299;Le Plantay;31.5
01301;Polliat;25.8
01302;Pollieu;23.7
01303;Poncin;24
01304;Pont-d'Ain;23.8
01305;Pont-de-Vaux;17.1
01306;Pont-de-Veyle;17.2
01307;Port;20.7
01308;Pougny;40
01309;Pouillat;23.8
01310;Prémeyzel;12.9
01311;Prémillieu;40
01313;Prévessin-Moëns;58.1
01314;Priay;26.4
01317;Ramasse;24
01318;Rancé;36.7
01319;Relevant;27.9
01320;Replonges;27.4
01321;Revonnas;40.9
01322;Reyrieux;37.5
01323;Reyssouze;18.8
01325;Rignieux-le-Franc;29.8
01328;Romans;22.3
01329;Rossillon;11.5
01330;Ruffieu;31.6
01331;Saint-Alban;29.8
01332;Saint-André-de-Bâgé;26.1
01333;Saint-André-de-Corcy;30.8
01334;Saint-André-d'Huiriat;29.3
01335;Saint-André-le-Bouchoux;32.4
01336;Saint-André-sur-Vieux-Jonc;27.2
01337;Saint-Bénigne;21.2
01338;Groslée-Saint-Benoit;22.6
01339;Saint-Bernard;42.2
01342;Sainte-Croix;37.9
01343;Saint-Cyr-sur-Menthon;24.1
01344;Saint-Denis-lès-Bourg;31.3
01345;Saint-Denis-en-Bugey;20.8
01346;Saint-Didier-d'Aussiat;23.8
01347;Saint-Didier-de-Formans;41.5
01348;Saint-Didier-sur-Chalaronne;20.8
01349;Saint-Éloi;35
01350;Saint-Étienne-du-Bois;22.3
01351;Saint-Étienne-sur-Chalaronne;23.6
01352;Saint-Étienne-sur-Reyssouze;18.8
01353;Sainte-Euphémie;39.2
01354;Saint-Genis-Pouilly;48.3
01355;Saint-Genis-sur-Menthon;23.9
01356;Saint-Georges-sur-Renon;34.9
01357;Saint-Germain-de-Joux;21.4
01358;Saint-Germain-les-Paroisses;23.5
01359;Saint-Germain-sur-Renon;14.9
01360;Saint-Jean-de-Gonville;40.9
01361;Saint-Jean-de-Niost;42.5
01362;Saint-Jean-de-Thurigneux;34.3
01363;Saint-Jean-le-Vieux;27.2
01364;Saint-Jean-sur-Reyssouze;19.5
01365;Saint-Jean-sur-Veyle;19.9
01366;Sainte-Julie;27.3
01367;Saint-Julien-sur-Reyssouze;17.7
01368;Saint-Julien-sur-Veyle;24.2
01369;Saint-Just;30
01370;Saint-Laurent-sur-Saône;24.4
01371;Saint-Marcel;30.1
01372;Saint-Martin-de-Bavel;24.5
01373;Saint-Martin-du-Frêne;23.2
01374;Saint-Martin-du-Mont;31.8
01375;Saint-Martin-le-Châtel;28.3
01376;Saint-Maurice-de-Beynost;25.6
01378;Saint-Maurice-de-Gourdans;32.1
01379;Saint-Maurice-de-Rémens;21.9
01380;Saint-Nizier-le-Bouchoux;16.8
01381;Saint-Nizier-le-Désert;23.6
01382;Sainte-Olive;31.9
01383;Saint-Paul-de-Varax;21.1
01384;Saint-Rambert-en-Bugey;16.7
01385;Saint-Rémy;23.5
01386;Saint-Sorlin-en-Bugey;33.3
01387;Saint-Sulpice;25.4
01388;Saint-Trivier-de-Courtes;14
01389;Saint-Trivier-sur-Moignans;23.9
01390;Saint-Vulbas;24.5
01391;Salavre;15.3
01392;Samognat;29
01393;Sandrans;29.5
01396;Sault-Brénaz;12.4
01397;Sauverny;45.2
01398;Savigneux;27.2
01399;Ségny;46.9
01400;Seillonnaz;21.5
01401;Sergy;49.4
01402;Sermoyer;22.5
01403;Serrières-de-Briord;18.6
01404;Serrières-sur-Ain;22.4
01405;Servas;22.6
01406;Servignat;18
01407;Seyssel;27.8
01408;Simandre-sur-Suran;24.1
01410;Sonthonnax-la-Montagne;35.9
01411;Souclin;18.3
01412;Sulignat;25.4
01415;Talissieu;21
01416;Tenay;15.1
01418;Thil;37.3
01419;Thoiry;49.4
01420;Thoissey;16
01421;Torcieu;18.6
01422;Tossiat;31.4
01423;Toussieux;37.1
01424;Tramoyes;43.5
01425;La Tranclière;24.4
01426;Val-Revermont;29.2
01427;Trévoux;34.6
01428;Valeins;23.8
01429;Vandeins;24.3
01430;Varambon;26.8
01431;Vaux-en-Bugey;29
01432;Verjon;25.7
01433;Vernoux;9.4
01434;Versailleux;37.5
01435;Versonnex;40.7
01436;Vesancy;44.6
01437;Vescours;14.2
01439;Vésines;18.9
01441;Vieu-d'Izenave;22
01443;Villars-les-Dombes;27
01444;Villebois;23.9
01445;Villemotier;25.9
01446;Villeneuve;28.5
01447;Villereversure;19.3
01448;Villes;27.9
01449;Villette-sur-Ain;20.5
01450;Villieu-Loyes-Mollon;18.4
01451;Viriat;26.8
01452;Virieu-le-Grand;19.8
01453;Arvière-en-Valromey;22.1
01454;Virignin;26
01456;Vongnes;31.6
01457;Vonnas;18.1
02001;Abbécourt;15.6
02002;Achery;19.3
02003;Acy;25.2
02004;Agnicourt-et-Séchelles;15.7
02005;Aguilcourt;24.1
02006;Aisonville-et-Bernoville;16.7
02007;Aizelles;31
02008;Aizy-Jouy;28.1
02009;Alaincourt;20.7
02010;Allemant;20
02011;Ambleny;22.4
02012;Ambrief;40.7
02013;Amifontaine;26
02014;Amigny-Rouy;26.3
02015;Ancienville;31
02016;Andelain;20.3
02017;Anguilcourt-le-Sart;24
02018;Anizy-le-Grand;22
02019;Annois;15.4
02020;Any-Martin-Rieux;23.3
02021;Archon;22.7
02022;Arcy-Sainte-Restitue;21.4
02023;Armentières-sur-Ourcq;21.8
02024;Arrancy;23.7
02025;Artemps;24.4
02027;Assis-sur-Serre;14.1
02028;Athies-sous-Laon;21.5
02029;Attilly;27.6
02030;Aubencheul-aux-Bois;14.3
02031;Aubenton;12.6
02032;Aubigny-aux-Kaisnes;10.9
02033;Aubigny-en-Laonnois;20
02034;Audignicourt;22.6
02035;Audigny;19.1
02036;Augy;14.8
02037;Aulnois-sous-Laon;19.2
02038;Les Autels;0
02039;Autremencourt;15
02040;Autreppes;20.8
02041;Autreville;19.4
02042;Azy-sur-Marne;17.6
02043;Bagneux;15.7
02044;Bancigny;11.8
02046;Barenton-Bugny;20.4
02047;Barenton-Cel;10.2
02048;Barenton-sur-Serre;26.5
02049;Barisis-aux-Bois;26.9
02050;Barzy-en-Thiérache;17.1
