Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Part des non diplomés parmi les 15 ans et plus non scolarisés 2018
01001;L'Abergement-Clémenciat;24.1
01002;L'Abergement-de-Varey;16.5
01004;Ambérieu-en-Bugey;27.5
01005;Ambérieux-en-Dombes;23
01006;Ambléon;21.6
01007;Ambronay;18.8
01008;Ambutrix;17.8
01009;Andert-et-Condon;21
01010;Anglefort;27.7
01011;Apremont;22.8
01012;Aranc;30.6
01013;Arandas;27.8
01014;Arbent;40.2
01015;Arboys en Bugey;21.7
01016;Arbigny;25.7
01017;Argis;31.9
01019;Armix;16.7
01021;Ars-sur-Formans;19.4
01022;Artemare;32.2
01023;Asnières-sur-Saône;23.1
01024;Attignat;20.9
01025;Bâgé-Dommartin;24.1
01026;Bâgé-le-Châtel;30.5
01027;Balan;20.5
01028;Baneins;22.2
01029;Beaupont;37.3
01030;Beauregard;25.6
01031;Bellignat;39.1
01032;Béligneux;23.6
01033;Valserhône;32.9
01034;Belley;34.5
01035;Belleydoux;20.8
01036;Valromey-sur-Séran;21.1
01037;Bénonces;27.9
01038;Bény;25.5
01039;Béon;29.7
01040;Béréziat;19.5
01041;Bettant;23.3
01042;Bey;19.9
01043;Beynost;18.5
01044;Billiat;24.1
01045;Birieux;19.6
01046;Biziat;24.2
01047;Blyes;14.5
01049;La Boisse;21.5
01050;Boissey;27.5
01051;Bolozon;24.1
01052;Bouligneux;24.9
01053;Bourg-en-Bresse;31.4
01054;Bourg-Saint-Christophe;17.1
01056;Boyeux-Saint-Jérôme;26
01057;Boz;24.7
01058;Brégnier-Cordon;23.5
01060;Brénod;24.4
01061;Brens;19.1
01062;Bressolles;18.6
01063;Brion;32.4
01064;Briord;23.2
01065;Buellas;16.7
01066;La Burbanche;29.5
01067;Ceignes;15
01068;Cerdon;31.3
01069;Certines;17.2
01071;Cessy;14.2
01072;Ceyzériat;22.6
01073;Ceyzérieu;20.1
01074;Chalamont;29.5
01075;Chaleins;22
01076;Chaley;41.3
01077;Challes-la-Montagne;17.2
01078;Challex;14.5
01079;Champagne-en-Valromey;28.8
01080;Champdor-Corcelles;28
01081;Champfromier;22.8
01082;Chanay;20.4
01083;Chaneins;26
01084;Chanoz-Châtenay;21
01085;La Chapelle-du-Châtelard;21.1
01087;Charix;22.9
01088;Charnoz-sur-Ain;18.6
01089;Château-Gaillard;21.1
01090;Châtenay;18.4
01092;Châtillon-la-Palud;20.1
01093;Châtillon-sur-Chalaronne;36.4
01094;Chavannes-sur-Reyssouze;30.6
01095;Nivigne et Suran;23.8
01096;Chaveyriat;25.1
01098;Chazey-Bons;29.1
01099;Chazey-sur-Ain;20
01100;Cheignieu-la-Balme;27.7
01101;Chevillard;13.4
01102;Chevroux;26.8
01103;Chevry;14.7
01104;Chézery-Forens;22.6
01105;Civrieux;15.2
01106;Cize;23.5
01107;Cleyzieu;26.7
01108;Coligny;35.4
01109;Collonges;18.4
01110;Colomieu;29.1
01111;Conand;17.9
01112;Condamine;20.1
01113;Condeissiat;22.7
01114;Confort;28.8
01115;Confrançon;22.2
01116;Contrevoz;23.6
01117;Conzieu;17.8
01118;Corbonod;32.8
01121;Corlier;17
01123;Cormoranche-sur-Saône;26.9
01124;Cormoz;25
01125;Corveissiat;22.4
01127;Courmangoux;22.2
01128;Courtes;27.7
01129;Crans;25.7
01130;Bresse Vallons;22.7
01133;Cressin-Rochefort;24.7
01134;Crottet;27.4
01135;Crozet;11.9
01136;Cruzilles-lès-Mépillat;21.9
01138;Culoz;33.9
01139;Curciat-Dongalon;35.4
01140;Curtafond;26.8
01141;Cuzieu;27.9
01142;Dagneux;24
01143;Divonne-les-Bains;17.1
01145;Dompierre-sur-Veyle;29.6
01146;Dompierre-sur-Chalaronne;19.8
01147;Domsure;32.8
01148;Dortan;30.2
01149;Douvres;15.2
01150;Drom;15.4
01151;Druillat;23.4
01152;Échallon;21.4
01153;Échenevex;10.6
01155;Évosges;16.5
01156;Faramans;18.7
01157;Fareins;24.5
01158;Farges;14.1
01159;Feillens;28
01160;Ferney-Voltaire;18.9
01162;Flaxieu;8.5
01163;Foissiat;25.3
01165;Francheleins;18.3
01166;Frans;23
01167;Garnerans;26
01169;Genouilleux;22.4
01170;Béard-Géovreissiat;26.1
01171;Géovreisset;30.7
01173;Gex;18.5
01174;Giron;14.9
01175;Gorrevod;23.6
01177;Grand-Corent;20.4
01179;Grièges;27.3
01180;Grilly;10.3
01181;Groissiat;27.3
01183;Guéreins;26.3
01184;Hautecourt-Romanèche;23.2
01185;Plateau d'Hauteville;31.4
01187;Haut Valromey;19.6
01188;Illiat;23.4
01189;Injoux-Génissiat;18.3
01190;Innimond;42.9
01191;Izenave;29.4
01192;Izernore;29.7
01193;Izieu;21.7
01194;Jassans-Riottier;28.6
01195;Jasseron;20.5
01196;Jayat;25.2
01197;Journans;14.1
01198;Joyeux;20.3
01199;Jujurieux;26.4
01200;Labalme;25.7
01202;Lagnieu;30.6
01203;Laiz;26.9
01204;Le Poizat-Lalleyriat;17.5
01206;Lantenay;31.1
01207;Lapeyrouse;22.5
01208;Lavours;27.9
01209;Léaz;22.6
01210;Lélex;23.1
01211;Lent;21.5
01212;Lescheroux;28.6
01213;Leyment;21.1
01214;Leyssard;12.2
01215;Surjoux-Lhopital;25.5
01216;Lhuis;30.2
01219;Lompnas;20.1
01224;Loyettes;27.3
01225;Lurcy;24
01227;Magnieu;21.1
01228;Maillat;25.8
01229;Malafretaz;22.7
01230;Mantenay-Montlin;26.6
01231;Manziat;27.3
01232;Marboz;30.2
01233;Marchamp;27.3
01234;Marignieu;22.1
01235;Marlieux;21.2
01236;Marsonnas;22.2
01237;Martignat;26.4
01238;Massieux;17.5
01239;Massignieu-de-Rives;39.7
01240;Matafelon-Granges;24.7
01241;Meillonnas;23.6
01242;Mérignat;13.5
01243;Messimy-sur-Saône;20.9
01244;Meximieux;25.9
01245;Bohas-Meyriat-Rignat;18.6
01246;Mézériat;30.7
01247;Mijoux;12.1
01248;Mionnay;14
01249;Miribel;23.9
01250;Misérieux;19.9
01252;Mogneneins;24.7
01254;Montagnat;15.3
