Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Part des "cadres et professions intellectuelles supérieures" dans la population 2018
01001;L'Abergement-Clémenciat;12.3
01002;L'Abergement-de-Varey;7.9
01004;Ambérieu-en-Bugey;6.8
01005;Ambérieux-en-Dombes;8.1
01006;Ambléon;5.4
01007;Ambronay;9.7
01008;Ambutrix;8.1
01009;Andert-et-Condon;1.8
01010;Anglefort;5.3
01011;Apremont;12.1
01012;Aranc;1.9
01013;Arandas;8.7
01014;Arbent;3.4
01015;Arboys en Bugey;14.7
01016;Arbigny;4.2
01017;Argis;1.4
01019;Armix;0
01021;Ars-sur-Formans;11.1
01022;Artemare;2.8
01023;Asnières-sur-Saône;7.7
01024;Attignat;7.2
01025;Bâgé-Dommartin;6.3
01026;Bâgé-le-Châtel;6.8
01027;Balan;8.6
01028;Baneins;7
01029;Beaupont;4.5
01030;Beauregard;13.2
01031;Bellignat;5.5
01032;Béligneux;8.3
01033;Valserhône;5.7
01034;Belley;4.7
01035;Belleydoux;4
01036;Valromey-sur-Séran;7
01037;Bénonces;4
01038;Bény;7.2
01039;Béon;6.2
01040;Béréziat;2.8
01041;Bettant;6
01042;Bey;12.4
01043;Beynost;18.4
01044;Billiat;5.7
01045;Birieux;19.5
01046;Biziat;3.6
01047;Blyes;13.8
01049;La Boisse;10.6
01050;Boissey;0
01051;Bolozon;0
01052;Bouligneux;17.6
01053;Bourg-en-Bresse;6.3
01054;Bourg-Saint-Christophe;14.9
01056;Boyeux-Saint-Jérôme;10.9
01057;Boz;3.8
01058;Brégnier-Cordon;3.9
01060;Brénod;8.5
01061;Brens;10.1
01062;Bressolles;10.1
01063;Brion;4.8
01064;Briord;5.3
01065;Buellas;13.2
01066;La Burbanche;7.7
01067;Ceignes;7.2
01068;Cerdon;3.8
01069;Certines;7.9
01071;Cessy;14.9
01072;Ceyzériat;8.3
01073;Ceyzérieu;10.2
01074;Chalamont;6.2
01075;Chaleins;7.7
01076;Chaley;0
01077;Challes-la-Montagne;13.4
01078;Challex;13.8
01079;Champagne-en-Valromey;7.5
01080;Champdor-Corcelles;0
01081;Champfromier;1.7
01082;Chanay;6.1
01083;Chaneins;5.2
01084;Chanoz-Châtenay;9.4
01085;La Chapelle-du-Châtelard;6.6
01087;Charix;20.2
01088;Charnoz-sur-Ain;12.5
01089;Château-Gaillard;6.7
01090;Châtenay;1.8
01092;Châtillon-la-Palud;9.2
01093;Châtillon-sur-Chalaronne;5.3
01094;Chavannes-sur-Reyssouze;3.8
01095;Nivigne et Suran;4.9
01096;Chaveyriat;5.5
01098;Chazey-Bons;2.9
01099;Chazey-sur-Ain;12.4
01100;Cheignieu-la-Balme;8.9
01101;Chevillard;17.5
01102;Chevroux;2.7
01103;Chevry;19.4
01104;Chézery-Forens;2.7
01105;Civrieux;13.9
01106;Cize;3.4
01107;Cleyzieu;9.5
01108;Coligny;2
01109;Collonges;12.9
01110;Colomieu;0
01111;Conand;31.8
01112;Condamine;9.9
01113;Condeissiat;2.3
01114;Confort;4.7
01115;Confrançon;3.8
01116;Contrevoz;0
01117;Conzieu;0
01118;Corbonod;1.9
01121;Corlier;5.6
01123;Cormoranche-sur-Saône;5.2
01124;Cormoz;4.4
01125;Corveissiat;4.1
01127;Courmangoux;3.8
01128;Courtes;9.4
01129;Crans;8.7
01130;Bresse Vallons;7.8
01133;Cressin-Rochefort;4.4
01134;Crottet;9.1
01135;Crozet;15.7
01136;Cruzilles-lès-Mépillat;6.3
01138;Culoz;5.1
01139;Curciat-Dongalon;2.8
01140;Curtafond;4
01141;Cuzieu;1.5
01142;Dagneux;12.3
01143;Divonne-les-Bains;22.6
01145;Dompierre-sur-Veyle;6
01146;Dompierre-sur-Chalaronne;2.8
01147;Domsure;4
01148;Dortan;6
01149;Douvres;13.3
01150;Drom;22.7
01151;Druillat;4.2
01152;Échallon;10
01153;Échenevex;24
01155;Évosges;0
01156;Faramans;15.6
01157;Fareins;14.9
01158;Farges;12.5
01159;Feillens;5.1
01160;Ferney-Voltaire;16.8
01162;Flaxieu;24.4
01163;Foissiat;2.4
01165;Francheleins;11
01166;Frans;10.6
01167;Garnerans;8.7
01169;Genouilleux;10.9
01170;Béard-Géovreissiat;4.3
01171;Géovreisset;7.7
01173;Gex;13.8
01174;Giron;3.1
01175;Gorrevod;4.1
01177;Grand-Corent;7.5
01179;Grièges;4.1
01180;Grilly;27
01181;Groissiat;6.2
01183;Guéreins;5.7
01184;Hautecourt-Romanèche;5.8
01185;Plateau d'Hauteville;3.5
01187;Haut Valromey;10.2
01188;Illiat;6.5
01189;Injoux-Génissiat;6
01190;Innimond;0
01191;Izenave;7.4
01192;Izernore;5.8
01193;Izieu;6.6
01194;Jassans-Riottier;7.4
01195;Jasseron;11.2
01196;Jayat;5.1
01197;Journans;15.9
01198;Joyeux;12.8
01199;Jujurieux;7.6
01200;Labalme;11.3
01202;Lagnieu;7.3
01203;Laiz;3
01204;Le Poizat-Lalleyriat;8
01206;Lantenay;6.2
01207;Lapeyrouse;5.9
01208;Lavours;0
01209;Léaz;11.5
01210;Lélex;5.3
01211;Lent;9.2
01212;Lescheroux;2.6
01213;Leyment;9.8
01214;Leyssard;10.8
01215;Surjoux-Lhopital;4
01216;Lhuis;7.6
01219;Lompnas;3.4
01224;Loyettes;7.4
01225;Lurcy;18.7
01227;Magnieu;5.9
01228;Maillat;5.8
01229;Malafretaz;5.6
01230;Mantenay-Montlin;2
01231;Manziat;5.6
01232;Marboz;3.6
01233;Marchamp;4.8
01234;Marignieu;3.4
01235;Marlieux;5.9
01236;Marsonnas;6.6
01237;Martignat;5.6
01238;Massieux;12.9
01239;Massignieu-de-Rives;2.8
01240;Matafelon-Granges;4.8
01241;Meillonnas;4.2
01242;Mérignat;9.5
01243;Messimy-sur-Saône;11.2
01244;Meximieux;12.6
01245;Bohas-Meyriat-Rignat;6.9
01246;Mézériat;3.9
01247;Mijoux;11.5
01248;Mionnay;17.3
01249;Miribel;14.8
01250;Misérieux;9
01252;Mogneneins;8.8
01254;Montagnat;12
01255;Montagnieu;4.2
01257;Montanges;3.4
01258;Montceaux;11.8
01259;Montcet;5.5
01260;Le Montellier;9.7
01261;Monthieux;10.2
01262;Montluel;9
01263;Montmerle-sur-Saône;9.8
01264;Montracol;4.4
