Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Part des "retraités" dans la population 2018
01001;L'Abergement-Clémenciat;24.4
01002;L'Abergement-de-Varey;33.5
01004;Ambérieu-en-Bugey;23.6
01005;Ambérieux-en-Dombes;24.4
01006;Ambléon;27.2
01007;Ambronay;22.2
01008;Ambutrix;21.8
01009;Andert-et-Condon;27.3
01010;Anglefort;20.8
01011;Apremont;40.1
01012;Aranc;39.7
01013;Arandas;13
01014;Arbent;33
01015;Arboys en Bugey;30.3
01016;Arbigny;32.5
01017;Argis;35
01019;Armix;50
01021;Ars-sur-Formans;24.7
01022;Artemare;35.3
01023;Asnières-sur-Saône;13.8
01024;Attignat;25.7
01025;Bâgé-Dommartin;23.5
01026;Bâgé-le-Châtel;37.3
01027;Balan;12
01028;Baneins;24.2
01029;Beaupont;28.6
01030;Beauregard;19.4
01031;Bellignat;26.4
01032;Béligneux;18.8
01033;Valserhône;22.8
01034;Belley;30.4
01035;Belleydoux;41.9
01036;Valromey-sur-Séran;30.2
01037;Bénonces;34.7
01038;Bény;24.4
01039;Béon;38.5
01040;Béréziat;28.5
01041;Bettant;22.6
01042;Bey;18.5
01043;Beynost;26.1
01044;Billiat;23.8
01045;Birieux;12.2
01046;Biziat;22.1
01047;Blyes;13.8
01049;La Boisse;22.8
01050;Boissey;16.8
01051;Bolozon;31.7
01052;Bouligneux;29.4
01053;Bourg-en-Bresse;29.2
01054;Bourg-Saint-Christophe;20.7
01056;Boyeux-Saint-Jérôme;27.3
01057;Boz;28.6
01058;Brégnier-Cordon;30.5
01060;Brénod;32
01061;Brens;30.4
01062;Bressolles;27
01063;Brion;35.2
01064;Briord;26.3
01065;Buellas;27.5
01066;La Burbanche;13.8
01067;Ceignes;19.1
01068;Cerdon;34
01069;Certines;23.6
01071;Cessy;15
01072;Ceyzériat;29.6
01073;Ceyzérieu;31.9
01074;Chalamont;29.9
01075;Chaleins;14.4
01076;Chaley;58.1
01077;Challes-la-Montagne;26.8
01078;Challex;22.8
01079;Champagne-en-Valromey;48.5
01080;Champdor-Corcelles;34
01081;Champfromier;34.7
01082;Chanay;24.4
01083;Chaneins;15.2
01084;Chanoz-Châtenay;21.7
01085;La Chapelle-du-Châtelard;26.6
01087;Charix;22.9
01088;Charnoz-sur-Ain;19.7
01089;Château-Gaillard;25.5
01090;Châtenay;40.9
01092;Châtillon-la-Palud;25.5
01093;Châtillon-sur-Chalaronne;34.4
01094;Chavannes-sur-Reyssouze;25.2
01095;Nivigne et Suran;29.9
01096;Chaveyriat;18.9
01098;Chazey-Bons;34.1
01099;Chazey-sur-Ain;22.2
01100;Cheignieu-la-Balme;32.1
01101;Chevillard;17.5
01102;Chevroux;24.3
01103;Chevry;12.2
01104;Chézery-Forens;20.6
01105;Civrieux;19.5
01106;Cize;26.5
01107;Cleyzieu;38.1
01108;Coligny;44.1
01109;Collonges;12
01110;Colomieu;28.6
01111;Conand;22.4
01112;Condamine;11.5
01113;Condeissiat;25.5
01114;Confort;36.1
01115;Confrançon;19.1
01116;Contrevoz;47.3
01117;Conzieu;31
01118;Corbonod;27.5
01121;Corlier;16.7
01123;Cormoranche-sur-Saône;27.6
01124;Cormoz;26.4
01125;Corveissiat;23
01127;Courmangoux;31.6
01128;Courtes;26
01129;Crans;40.3
01130;Bresse Vallons;22.2
01133;Cressin-Rochefort;20.7
01134;Crottet;31.5
01135;Crozet;15.4
01136;Cruzilles-lès-Mépillat;26.7
01138;Culoz;33.4
01139;Curciat-Dongalon;36.7
01140;Curtafond;28.3
01141;Cuzieu;30.1
01142;Dagneux;21.5
01143;Divonne-les-Bains;21.7
01145;Dompierre-sur-Veyle;20.5
01146;Dompierre-sur-Chalaronne;27.9
01147;Domsure;36.2
01148;Dortan;24.8
01149;Douvres;26
01150;Drom;8.5
01151;Druillat;31.5
01152;Échallon;24.2
01153;Échenevex;14.8
01155;Évosges;29.9
01156;Faramans;19.7
01157;Fareins;25.3
01158;Farges;15.7
01159;Feillens;31.4
01160;Ferney-Voltaire;15.6
01162;Flaxieu;48.8
01163;Foissiat;33.6
01165;Francheleins;24.1
01166;Frans;19.6
01167;Garnerans;25
01169;Genouilleux;18.8
01170;Béard-Géovreissiat;16.5
01171;Géovreisset;21.7
01173;Gex;14.2
01174;Giron;16.4
01175;Gorrevod;33.1
01177;Grand-Corent;29.3
01179;Grièges;34.9
01180;Grilly;17.7
01181;Groissiat;32.6
01183;Guéreins;28.8
01184;Hautecourt-Romanèche;35.6
01185;Plateau d'Hauteville;38.9
01187;Haut Valromey;36.8
01188;Illiat;22.3
01189;Injoux-Génissiat;15.4
01190;Innimond;33.8
01191;Izenave;18.4
01192;Izernore;21.6
01193;Izieu;38.8
01194;Jassans-Riottier;31.2
01195;Jasseron;28.2
01196;Jayat;28.3
01197;Journans;27.8
01198;Joyeux;23.1
01199;Jujurieux;22.6
01200;Labalme;19.8
01202;Lagnieu;28.1
01203;Laiz;27.3
01204;Le Poizat-Lalleyriat;23.2
01206;Lantenay;29.5
01207;Lapeyrouse;17.6
01208;Lavours;33.3
01209;Léaz;11.5
01210;Lélex;31.6
01211;Lent;29.8
01212;Lescheroux;31.8
01213;Leyment;14.7
01214;Leyssard;18.5
01215;Surjoux-Lhopital;12
01216;Lhuis;39.7
01219;Lompnas;38.1
01224;Loyettes;20
01225;Lurcy;27.6
01227;Magnieu;22.5
01228;Maillat;27.3
01229;Malafretaz;25.8
01230;Mantenay-Montlin;20.4
01231;Manziat;33.5
01232;Marboz;34.3
01233;Marchamp;33.3
01234;Marignieu;27.4
01235;Marlieux;28.9
01236;Marsonnas;26.2
01237;Martignat;22.5
01238;Massieux;24.2
01239;Massignieu-de-Rives;31.8
01240;Matafelon-Granges;29.1
01241;Meillonnas;31.8
01242;Mérignat;4.8
01243;Messimy-sur-Saône;30.7
01244;Meximieux;23.7
01245;Bohas-Meyriat-Rignat;32.4
01246;Mézériat;29.1
01247;Mijoux;14.9
01248;Mionnay;21.2
01249;Miribel;23.6
01250;Misérieux;17.9
01252;Mogneneins;27.2
01254;Montagnat;28.2
01255;Montagnieu;26.7
01257;Montanges;21.9
01258;Montceaux;22.8
01259;Montcet;17.2
01260;Le Montellier;14.5
01261;Monthieux;27.8
01262;Montluel;23.2
01263;Montmerle-sur-Saône;31.9
01264;Montracol;20.9
01265;Montréal-la-Cluse;24.3
01266;Montrevel-en-Bresse;40.9
01267;Nurieux-Volognat;25.4
01268;Murs-et-Gélignieux;33.5
01269;Nantua;25.5
01272;Neuville-les-Dames;31.9
01273;Neuville-sur-Ain;26.2
01274;Les Neyrolles;20.6
01275;Neyron;25.6
01276;Niévroz;13.4
01277;Nivollet-Montgriffon;33.3
01279;Oncieu;33.3
01280;Ordonnaz;42.3
01281;Ornex;16.1
01282;Outriaz;34.8
01283;Oyonnax;24.9
01284;Ozan;19.4
01285;Parcieux;18.8
01286;Parves et Nattages;33.8
