Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Tranches d'aire d'attraction des villes 2020
01001;L'Abergement-Clémenciat;1
01002;L'Abergement-de-Varey;0
01004;Ambérieu-en-Bugey;1
01005;Ambérieux-en-Dombes;4
01006;Ambléon;1
01007;Ambronay;1
01008;Ambutrix;1
01009;Andert-et-Condon;1
01010;Anglefort;0
01011;Apremont;2
01012;Aranc;1
01013;Arandas;1
01014;Arbent;2
01015;Arboys en Bugey;1
01016;Arbigny;2
01017;Argis;0
01019;Armix;0
01021;Ars-sur-Formans;4
01022;Artemare;1
01023;Asnières-sur-Saône;2
01024;Attignat;2
01025;Bâgé-Dommartin;2
01026;Bâgé-le-Châtel;2
01027;Balan;4
01028;Baneins;0
01029;Beaupont;2
01030;Beauregard;4
01031;Bellignat;2
01032;Béligneux;4
01033;Valserhône;4
01034;Belley;1
01035;Belleydoux;2
01036;Valromey-sur-Séran;1
01037;Bénonces;0
01038;Bény;2
01039;Béon;1
01040;Béréziat;2
01041;Bettant;1
01042;Bey;2
01043;Beynost;4
01044;Billiat;4
01045;Birieux;4
01046;Biziat;0
01047;Blyes;4
01049;La Boisse;4
01050;Boissey;2
01051;Bolozon;0
01052;Bouligneux;4
01053;Bourg-en-Bresse;2
01054;Bourg-Saint-Christophe;4
01056;Boyeux-Saint-Jérôme;0
01057;Boz;2
01058;Brégnier-Cordon;0
01060;Brénod;1
01061;Brens;1
01062;Bressolles;4
01063;Brion;2
01064;Briord;0
01065;Buellas;2
01066;La Burbanche;1
01067;Ceignes;0
01068;Cerdon;0
01069;Certines;2
01071;Cessy;4
01072;Ceyzériat;2
01073;Ceyzérieu;1
01074;Chalamont;4
01075;Chaleins;4
01076;Chaley;0
01077;Challes-la-Montagne;0
01078;Challex;4
01079;Champagne-en-Valromey;0
01080;Champdor-Corcelles;1
01081;Champfromier;0
01082;Chanay;4
01083;Chaneins;0
01084;Chanoz-Châtenay;2
01085;La Chapelle-du-Châtelard;4
01087;Charix;2
01088;Charnoz-sur-Ain;4
01089;Château-Gaillard;4
01090;Châtenay;0
01092;Châtillon-la-Palud;4
01093;Châtillon-sur-Chalaronne;1
01094;Chavannes-sur-Reyssouze;2
01095;Nivigne et Suran;2
01096;Chaveyriat;2
01098;Chazey-Bons;1
01099;Chazey-sur-Ain;4
01100;Cheignieu-la-Balme;1
01101;Chevillard;0
01102;Chevroux;2
01103;Chevry;4
01104;Chézery-Forens;0
01105;Civrieux;4
01106;Cize;2
01107;Cleyzieu;1
01108;Coligny;2
01109;Collonges;4
01110;Colomieu;1
01111;Conand;1
01112;Condamine;0
01113;Condeissiat;2
01114;Confort;4
01115;Confrançon;2
01116;Contrevoz;1
01117;Conzieu;1
01118;Corbonod;0
01121;Corlier;1
01123;Cormoranche-sur-Saône;2
01124;Cormoz;2
01125;Corveissiat;2
01127;Courmangoux;2
01128;Courtes;0
01129;Crans;4
01130;Bresse Vallons;2
01133;Cressin-Rochefort;1
01134;Crottet;2
01135;Crozet;4
01136;Cruzilles-lès-Mépillat;2
01138;Culoz;1
01139;Curciat-Dongalon;2
01140;Curtafond;2
01141;Cuzieu;1
01142;Dagneux;4
01143;Divonne-les-Bains;4
01145;Dompierre-sur-Veyle;2
01146;Dompierre-sur-Chalaronne;1
01147;Domsure;2
01148;Dortan;2
01149;Douvres;1
01150;Drom;2
01151;Druillat;2
01152;Échallon;2
01153;Échenevex;4
01155;Évosges;1
01156;Faramans;4
01157;Fareins;4
01158;Farges;4
01159;Feillens;2
01160;Ferney-Voltaire;4
01162;Flaxieu;1
01163;Foissiat;2
01165;Francheleins;0
01166;Frans;4
01167;Garnerans;2
01169;Genouilleux;0
01170;Béard-Géovreissiat;2
01171;Géovreisset;2
01173;Gex;4
01174;Giron;0
01175;Gorrevod;2
01177;Grand-Corent;2
01179;Grièges;2
01180;Grilly;4
01181;Groissiat;2
01183;Guéreins;0
01184;Hautecourt-Romanèche;2
01185;Plateau d'Hauteville;1
01187;Haut Valromey;0
01188;Illiat;0
01189;Injoux-Génissiat;4
01190;Innimond;0
01191;Izenave;0
01192;Izernore;2
01193;Izieu;0
01194;Jassans-Riottier;4
01195;Jasseron;2
01196;Jayat;2
01197;Journans;2
01198;Joyeux;4
01199;Jujurieux;1
01200;Labalme;0
01202;Lagnieu;1
01203;Laiz;2
01204;Le Poizat-Lalleyriat;0
01206;Lantenay;0
01207;Lapeyrouse;4
01208;Lavours;1
01209;Léaz;4
01210;Lélex;0
01211;Lent;2
01212;Lescheroux;2
01213;Leyment;4
01214;Leyssard;2
01215;Surjoux-Lhopital;4
01216;Lhuis;0
01219;Lompnas;0
01224;Loyettes;4
01225;Lurcy;4
01227;Magnieu;1
01228;Maillat;0
01229;Malafretaz;2
01230;Mantenay-Montlin;2
01231;Manziat;2
01232;Marboz;2
01233;Marchamp;0
01234;Marignieu;1
01235;Marlieux;4
01236;Marsonnas;2
01237;Martignat;2
01238;Massieux;4
01239;Massignieu-de-Rives;1
01240;Matafelon-Granges;2
01241;Meillonnas;2
01242;Mérignat;0
01243;Messimy-sur-Saône;4
01244;Meximieux;4
01245;Bohas-Meyriat-Rignat;2
01246;Mézériat;2
01247;Mijoux;4
01248;Mionnay;4
01249;Miribel;4
01250;Misérieux;4
01252;Mogneneins;0
01254;Montagnat;2
01255;Montagnieu;0
01257;Montanges;4
01258;Montceaux;0
01259;Montcet;2
01260;Le Montellier;4
01261;Monthieux;4
01262;Montluel;4
01263;Montmerle-sur-Saône;0
01264;Montracol;2
01265;Montréal-la-Cluse;2
01266;Montrevel-en-Bresse;2
01267;Nurieux-Volognat;2
01268;Murs-et-Gélignieux;1
01269;Nantua;0
01272;Neuville-les-Dames;1
01273;Neuville-sur-Ain;0
01274;Les Neyrolles;0
01275;Neyron;4
01276;Niévroz;4
01277;Nivollet-Montgriffon;0
01279;Oncieu;0
01280;Ordonnaz;0
01281;Ornex;4
01282;Outriaz;0
01283;Oyonnax;2
01284;Ozan;2
01285;Parcieux;4
01286;Parves et Nattages;3
01288;Péron;4
01289;Péronnas;2
01290;Pérouges;4
01291;Perrex;2
01293;Peyriat;2
01294;Peyrieu;1
01295;Peyzieux-sur-Saône;0
01296;Pirajoux;2
01297;Pizay;4
01298;Plagne;2
01299;Le Plantay;4
01301;Polliat;2
01302;Pollieu;1
01303;Poncin;0
01304;Pont-d'Ain;0
01305;Pont-de-Vaux;2
01306;Pont-de-Veyle;2
01307;Port;2
01308;Pougny;4
01309;Pouillat;2
01310;Prémeyzel;1
01311;Prémillieu;0
01313;Prévessin-Moëns;4
01314;Priay;4
01317;Ramasse;2
01318;Rancé;4
01319;Relevant;1
01320;Replonges;2
01321;Revonnas;2
01322;Reyrieux;4
01323;Reyssouze;2
01325;Rignieux-le-Franc;4
01328;Romans;2
01329;Rossillon;1
01330;Ruffieu;0
01331;Saint-Alban;0
01332;Saint-André-de-Bâgé;2
