Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Niveau de centres d'équipements et de services des communes 2021
01001;L'Abergement-Clémenciat;0
01002;L'Abergement-de-Varey;0
01004;Ambérieu-en-Bugey;3
01005;Ambérieux-en-Dombes;1
01006;Ambléon;0
01007;Ambronay;1
01008;Ambutrix;1
01009;Andert-et-Condon;0
01010;Anglefort;1
01011;Apremont;0
01012;Aranc;0
01013;Arandas;0
01014;Arbent;2
01015;Arboys en Bugey;0
01016;Arbigny;0
01017;Argis;0
01019;Armix;0
01021;Ars-sur-Formans;1
01022;Artemare;2
01023;Asnières-sur-Saône;0
01024;Attignat;1
01025;Bâgé-Dommartin;1
01026;Bâgé-le-Châtel;1
01027;Balan;1
01028;Baneins;0
01029;Beaupont;0
01030;Beauregard;1
01031;Bellignat;2
01032;Béligneux;1
01033;Valserhône;3
01034;Belley;3
01035;Belleydoux;0
01036;Valromey-sur-Séran;0
01037;Bénonces;0
01038;Bény;0
01039;Béon;0
01040;Béréziat;0
01041;Bettant;0
01042;Bey;0
01043;Beynost;2
01044;Billiat;0
01045;Birieux;0
01046;Biziat;0
01047;Blyes;1
01049;La Boisse;1
01050;Boissey;0
01051;Bolozon;0
01052;Bouligneux;0
01053;Bourg-en-Bresse;4
01054;Bourg-Saint-Christophe;0
01056;Boyeux-Saint-Jérôme;0
01057;Boz;0
01058;Brégnier-Cordon;1
01060;Brénod;0
01061;Brens;0
01062;Bressolles;0
01063;Brion;0
01064;Briord;0
01065;Buellas;1
01066;La Burbanche;0
01067;Ceignes;0
01068;Cerdon;0
01069;Certines;0
01071;Cessy;1
01072;Ceyzériat;2
01073;Ceyzérieu;1
01074;Chalamont;2
01075;Chaleins;1
01076;Chaley;0
01077;Challes-la-Montagne;0
01078;Challex;0
01079;Champagne-en-Valromey;1
01080;Champdor-Corcelles;0
01081;Champfromier;1
01082;Chanay;0
01083;Chaneins;0
01084;Chanoz-Châtenay;0
01085;La Chapelle-du-Châtelard;0
01087;Charix;0
01088;Charnoz-sur-Ain;0
01089;Château-Gaillard;1
01090;Châtenay;0
01092;Châtillon-la-Palud;1
01093;Châtillon-sur-Chalaronne;2
01094;Chavannes-sur-Reyssouze;0
01095;Nivigne et Suran;1
01096;Chaveyriat;0
01098;Chazey-Bons;1
