Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Part des immigrés dans la population 2019
01001;L'Abergement-Clémenciat;2.6
01002;L'Abergement-de-Varey;1.2
01004;Ambérieu-en-Bugey;11.2
01005;Ambérieux-en-Dombes;4.1
01006;Ambléon;7.3
01007;Ambronay;3.6
01008;Ambutrix;3.3
01009;Andert-et-Condon;4.3
01010;Anglefort;5.3
01011;Apremont;2.1
01012;Aranc;2.4
01013;Arandas;1.4
01014;Arbent;23
01015;Arboys en Bugey;3.1
01016;Arbigny;3.3
01017;Argis;3.8
01019;Armix;11.5
01021;Ars-sur-Formans;5.4
01022;Artemare;6.7
01023;Asnières-sur-Saône;2.6
01024;Attignat;3.5
01025;Bâgé-Dommartin;3
01026;Bâgé-le-Châtel;3.9
01027;Balan;5.1
01028;Baneins;3
01029;Beaupont;2.7
01030;Beauregard;4.6
01031;Bellignat;23.8
01032;Béligneux;6.4
01033;Valserhône;20.6
01034;Belley;11.8
01035;Belleydoux;2.6
01036;Valromey-sur-Séran;4
01037;Bénonces;3.7
01038;Bény;1.5
01039;Béon;11.5
01040;Béréziat;2.5
01041;Bettant;4
01042;Bey;0.7
01043;Beynost;6.8
01044;Billiat;10.1
01045;Birieux;3.6
01046;Biziat;3.6
01047;Blyes;4.5
01049;La Boisse;5.9
01050;Boissey;1.8
01051;Bolozon;2.2
01052;Bouligneux;2.4
01053;Bourg-en-Bresse;15.5
01054;Bourg-Saint-Christophe;3
01056;Boyeux-Saint-Jérôme;2
01057;Boz;2.5
01058;Brégnier-Cordon;2.4
01060;Brénod;3.4
01061;Brens;3.4
01062;Bressolles;2.4
01063;Brion;12.1
01064;Briord;2
01065;Buellas;3.1
01066;La Burbanche;7.9
01067;Ceignes;4.7
01068;Cerdon;3.4
01069;Certines;2.2
01071;Cessy;23.2
01072;Ceyzériat;3.1
01073;Ceyzérieu;3.5
01074;Chalamont;2.3
01075;Chaleins;3.5
01076;Chaley;6.2
01077;Challes-la-Montagne;1
01078;Challex;34.5
01079;Champagne-en-Valromey;4.6
01080;Champdor-Corcelles;4.3
01081;Champfromier;9.1
01082;Chanay;6.3
01083;Chaneins;3
01084;Chanoz-Châtenay;3.4
01085;La Chapelle-du-Châtelard;2.1
01087;Charix;4.1
01088;Charnoz-sur-Ain;2.7
01089;Château-Gaillard;5.1
01090;Châtenay;2
01092;Châtillon-la-Palud;2.5
01093;Châtillon-sur-Chalaronne;4.9
01094;Chavannes-sur-Reyssouze;1.1
