Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Taux de pauvreté (seuil à 60% du revenu médian) 2018
01001;L'Abergement-Clémenciat;N/A
01002;L'Abergement-de-Varey;N/A
01004;Ambérieu-en-Bugey;18
01005;Ambérieux-en-Dombes;N/A
01006;Ambléon;N/A
01007;Ambronay;N/A
01008;Ambutrix;N/A
01009;Andert-et-Condon;N/A
01010;Anglefort;N/A
01011;Apremont;N/A
01012;Aranc;N/A
01013;Arandas;N/A
01014;Arbent;10
01015;Arboys en Bugey;N/A
01016;Arbigny;N/A
01017;Argis;N/A
01019;Armix;N/A
01021;Ars-sur-Formans;N/A
01022;Artemare;N/A
01023;Asnières-sur-Saône;N/A
01024;Attignat;N/A
01025;Bâgé-Dommartin;5
01026;Bâgé-le-Châtel;N/A
01027;Balan;N/A
01028;Baneins;N/A
01029;Beaupont;N/A
01030;Beauregard;N/A
01031;Bellignat;17
01032;Béligneux;7
01033;Valserhône;16
01034;Belley;18
01035;Belleydoux;N/A
01036;Valromey-sur-Séran;N/A
01037;Bénonces;N/A
01038;Bény;N/A
01039;Béon;N/A
01040;Béréziat;N/A
01041;Bettant;N/A
01042;Bey;N/A
01043;Beynost;5
01044;Billiat;N/A
01045;Birieux;N/A
01046;Biziat;N/A
01047;Blyes;N/A
01049;La Boisse;N/A
01050;Boissey;N/A
01051;Bolozon;N/A
01052;Bouligneux;N/A
01053;Bourg-en-Bresse;22
01054;Bourg-Saint-Christophe;N/A
01056;Boyeux-Saint-Jérôme;N/A
01057;Boz;N/A
01058;Brégnier-Cordon;N/A
01060;Brénod;N/A
01061;Brens;N/A
01062;Bressolles;N/A
01063;Brion;N/A
01064;Briord;N/A
01065;Buellas;N/A
01066;La Burbanche;N/A
01067;Ceignes;N/A
01068;Cerdon;N/A
01069;Certines;N/A
01071;Cessy;8
01072;Ceyzériat;N/A
01073;Ceyzérieu;N/A
01074;Chalamont;11
01075;Chaleins;N/A
01076;Chaley;N/A
01077;Challes-la-Montagne;N/A
01078;Challex;N/A
01079;Champagne-en-Valromey;N/A
01080;Champdor-Corcelles;N/A
01081;Champfromier;N/A
01082;Chanay;N/A
01083;Chaneins;N/A
01084;Chanoz-Châtenay;N/A
01085;La Chapelle-du-Châtelard;N/A
01087;Charix;N/A
01088;Charnoz-sur-Ain;N/A
01089;Château-Gaillard;N/A
01090;Châtenay;N/A
01092;Châtillon-la-Palud;N/A
01093;Châtillon-sur-Chalaronne;10
01094;Chavannes-sur-Reyssouze;N/A
01095;Nivigne et Suran;N/A
01096;Chaveyriat;N/A
01098;Chazey-Bons;N/A
01099;Chazey-sur-Ain;N/A
01100;Cheignieu-la-Balme;N/A
01101;Chevillard;N/A
01102;Chevroux;N/A
01103;Chevry;N/A
01104;Chézery-Forens;N/A
01105;Civrieux;N/A
01106;Cize;N/A
01107;Cleyzieu;N/A
01108;Coligny;N/A
01109;Collonges;N/A
01110;Colomieu;N/A
01111;Conand;N/A
01112;Condamine;N/A
01113;Condeissiat;N/A
01114;Confort;N/A
01115;Confrançon;N/A
01116;Contrevoz;N/A
01117;Conzieu;N/A
01118;Corbonod;N/A
01121;Corlier;N/A
01123;Cormoranche-sur-Saône;N/A
01124;Cormoz;N/A
01125;Corveissiat;N/A
01127;Courmangoux;N/A
01128;Courtes;N/A
01129;Crans;N/A
01130;Bresse Vallons;N/A
01133;Cressin-Rochefort;N/A
01134;Crottet;N/A
01135;Crozet;N/A
01136;Cruzilles-lès-Mépillat;N/A
01138;Culoz;15
01139;Curciat-Dongalon;N/A
01140;Curtafond;N/A
01141;Cuzieu;N/A
01142;Dagneux;6
01143;Divonne-les-Bains;9
01145;Dompierre-sur-Veyle;N/A
01146;Dompierre-sur-Chalaronne;N/A
01147;Domsure;N/A
01148;Dortan;N/A
01149;Douvres;N/A
01150;Drom;N/A
01151;Druillat;N/A
01152;Échallon;N/A
01153;Échenevex;N/A
01155;Évosges;N/A
01156;Faramans;N/A
01157;Fareins;N/A
01158;Farges;N/A
01159;Feillens;N/A
01160;Ferney-Voltaire;22
01162;Flaxieu;N/A
01163;Foissiat;N/A
