"Code","Département","Commune","Exprimés_T1","Abstentions_T1","Nb_voix_Le_Pen_T1","Voix_Le_Pen_T1","Exprimés_T2","Abstentions_T2","Nb_voix_Le_Pen_T2","Voix_Le_Pen_T2","Age_18_24ans","Age_30_44ans","Age_45_59ans","Agriculteurs_exploitants","Artisans_commerçants_chefs_d'entreprise","Cadres_professions_intellectuelles_supérieures","Employés","Ouvriers","Professions_intermédiaires","Retraités","Sans_activité_professionelles_ou_autre","Chômage","Salariés_emploi_précaire","Non_diplomés_non_scolarisés","Diplomés_supérieur_non_scolarisés","Indicateur_dépendance_économique","Immigrés","Vivant_quartier_prioritaire","Densité_population","Médiane_revenu_dispo_par_unité_consommation","Ressource_plus_50_pct_Caf","Rsa"
"97101","Guadeloupe","Les Abymes",17880,21694,2924,16.35,16356,21773,12184,74.49,8.7,16.4,21.8,0.2,4.3,3,20.4,11.7,10.8,21.3,28.3,31,17.9,39.4,19.5,103,7.5,32.9,658.63,NA,49.2,211.4
"97102","Guadeloupe","Anse-Bertrand",1484,3185,307,20.69,1723,2822,1276,74.06,6.6,13.2,26.1,2.5,4,2.1,17.4,11.9,10.1,28.8,23.3,24.3,21.2,47.8,13.4,113,1,0,64.02,NA,42.9,145.4
"97103","Guadeloupe","Baie-Mahault",10678,11502,1589,14.88,10068,11128,6504,64.6,9.2,19.5,21.8,0.2,5,8.8,20.8,8.3,16.7,16.8,23.5,18.4,16.4,29.8,32.9,91,4.5,0,670.37,NA,35.5,104.9
"97104","Guadeloupe","Baillif",1869,2673,344,18.41,1996,2379,1445,72.39,5.8,14,22.4,1.5,3.6,3.2,16.8,8.6,9.8,28.4,28.2,31.6,13.7,45.2,16.4,129,4.6,57.2,214.12,NA,52,166.9
"97105","Guadeloupe","Basse-Terre",3691,5377,621,16.82,3465,5295,2498,72.09,8.4,14.9,21.7,0.2,3.1,2.4,21.1,10.6,8.5,24.9,29.2,39.8,17.5,42.6,14.4,115,7.5,16.3,1706.06,NA,52.5,221.6
"97106","Guadeloupe","Bouillante",2482,3813,386,15.55,2495,3578,1416,56.75,6.3,14.1,25.7,0,3.5,3.3,17.5,12.6,10,28.2,25,33.6,26.2,41.3,15,109,1.3,0,157.55,NA,52.1,193.9
"97107","Guadeloupe","Capesterre-Belle-Eau",6432,8655,1463,22.75,6701,7991,5284,78.85,7,14.4,23.8,1.1,4.2,2.8,17.4,12.7,8.9,24.9,27.9,39,17,51.2,12.8,112,7.1,42.8,171.74,NA,53.8,204.6
"97108","Guadeloupe","Capesterre-de-Marie-Galante",927,2206,169,18.23,1091,1942,710,65.08,6.2,14.2,25.3,2.7,5.6,3.1,16.9,9.3,5.2,30.7,26.6,25.1,27.9,46.4,16.5,116,4.3,0,71.4,NA,53.8,118.8
"97109","Guadeloupe","Gourbeyre",2410,2896,336,13.94,2273,2823,1604,70.57,6.8,16.1,23.6,0.6,3.3,5.2,22.4,8.9,13.2,24.2,22.2,27.1,16.2,39.6,20.9,106,3.2,0,344.58,NA,47.7,161.7
"97110","Guadeloupe","La Désirade",541,1062,159,29.39,705,866,564,80,5.2,14.5,25.7,5.6,3.6,1.2,17.7,10.1,10.5,31.5,19.8,31.3,21.5,55.7,11.4,106,1.8,0,67.19,NA,50.8,169
